Site,Asclepias syriaca,Aster novi-belgii,Centaurea maculosa,Chelone glabra,Cichorium intybus,Cornelia varia,Daucus carota,Erigeron philadelphicus,Eupatorium ,Galeopsis tetrahit,Hypericum perforatum,Impatiens capensis,Inula helenium,Liatris ,Lotus corniculatus,Lythrum salicaria,Mentha,Monarda,Monarda fistulosa,Pastinaca sativa ,Prunella vulgaris,Rosa rugosa,Silybum marianum,Solanum dulcamara,Solidago ,Spiraea alba,Spirea latifolia,Trifolium pratense,Trifolium repens,Yellow clover,Purple clover,Verbana hastata,Vicia cracca,white matter,Yellow aster,Little daisy flowers,Buttercups,Fall yellow,Alfalfa,Smartweed,Small aster daisy,Large daisy,Oxalis corniculata,Stellaria graminea,Wild marjerem,Yarrow,Daisy aster,Purple aster,Yellow 7,Problem flower,White tall,Cool weird flowers,Plantain,Creeping charlie,Little white,Yellow flower,Yellow heart,Poligonum sagittatum,Little yellow star,Yellow flower with sables,Irregular on stalk,Unknown white,Large yellow flower with large middle,Yellow 5,Daisy,Cannibis rose
ONE,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,1,5,14,0,0,15,0,0,0,0,0,0,0,223,5,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,0,0,0,0,0,0,0,0,10,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PANTON,0,0,0,0,0,6,123,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,109,25,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLAN,0,6,0,0,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MENA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PITH,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRED,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,60,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAROC,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0
PORT,0,0,8,0,9,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,10,15,0,0,0,0,0,0,0,0,0
NEK,0,0,0,0,0,0,0,0,0,4,127,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DODD,0,0,0,0,0,0,0,6,258,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,37,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,36,3,6,0,0,0,0,0
ROCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,60,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5,0,0,0,155,119,21,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,2,7,0
BOSTFAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,21,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BOSTMID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,18,0,0,0,0,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
