ID,target_name,Ct_mean,norm_genome_copbee,ng.ul,final_vol,site,apiary_near_far,sumColonies,species
240,BQCV,28.216,1124561.97,143.91,36,HOGB,0,0,Bimaculatus
95,DWV,31.544,62453.88325,147.67,36.9,HOGB,0,0,Vagans
229,DWV,32.429,105865.0768,33.12,33.1,HOGB,0,0,Bimaculatus
47,BQCV,30.477,33167.06853,82.67,41.3,JOSH,1,32,Vagans
50,BQCV,31.941,34193.58189,128.87,32.2,JOSH,1,32,Vagans
51,BQCV,31.593,19836.51559,155.2,38.8,JOSH,1,32,Vagans
67,BQCV,27.918,870688.9645,118.61,59.3,JOSH,1,32,Vagans
68,BQCV,30.574,131376.9097,84.64,42.3,JOSH,1,32,Vagans
69,BQCV,28.309,1268038.496,46.44,34.8,JOSH,1,32,Vagans
70,BQCV,28.107,975700.8785,92.05,46,JOSH,1,32,Vagans
87,BQCV,25.801,2549142.303,134.61,33.7,JOSH,1,32,Vagans
88,BQCV,31.44,53972.4285,153.36,38.3,JOSH,1,32,Vagans
89,BQCV,26.016,1959992.861,135.08,33.8,JOSH,1,32,Vagans
90,BQCV,30.816,310562.6101,24.77,31,JOSH,1,32,Vagans
67,DWV,29.606,329394.7637,118.61,59.3,JOSH,1,32,Vagans
68,DWV,30.587,155584.4364,84.64,42.3,JOSH,1,32,Vagans
70,DWV,25.914,4573121.241,92.05,46,JOSH,1,32,Vagans
87,DWV,26.302,1986267.715,134.61,33.7,JOSH,1,32,Vagans
89,DWV,32.254,37394.70866,135.08,33.8,JOSH,1,32,Vagans
63,BQCV,24.935,2108176.824,120.11,30,MART,1,26,Vagans
64,BQCV,30.777,55674.18468,79.2,39.6,MART,1,26,Vagans
65,BQCV,29.921,94666.54928,127.76,31.9,MART,1,26,Vagans
84,BQCV,32.45,33336.34357,89.53,44.8,MART,1,26,Vagans
85,BQCV,31.357,226353.7005,55.64,41.7,MART,1,26,Vagans
86,BQCV,24.833,6530293.836,83.52,41.8,MART,1,26,Vagans
103,BQCV,27.391,769207.3595,83.82,41.9,MART,1,26,Vagans
104,BQCV,30.15,120812.5866,102.14,51.1,MART,1,26,Vagans
105,BQCV,27.391,1236835.64,133.53,33.4,MART,1,26,Vagans
106,BQCV,30.273,171925.1487,163.26,40.8,MART,1,26,Vagans
107,BQCV,27.593,473256.0996,149.07,37.3,MART,1,26,Vagans
108,BQCV,27.832,624663.1998,105.74,52.9,MART,1,26,Vagans
216,BQCV,23.391,21395437.68,127.07,31.8,MART,1,26,Bimaculatus
218,BQCV,23.723,18205752.72,142.13,35.5,MART,1,26,Bimaculatus
221,BQCV,21.316,22454589.79,213.99,53.5,MART,1,26,Bimaculatus
224,BQCV,32.28,31363.24735,180.85,45.2,MART,1,26,Bimaculatus
226,BQCV,22.488,35076195.67,111.04,55.5,MART,1,26,Bimaculatus
230,BQCV,24.968,7530893.631,155.9,39,MART,1,26,Bimaculatus
233,BQCV,31.108,73503.16725,204.03,51,MART,1,26,Bimaculatus
235,BQCV,27.851,2983484.788,148.79,37.2,MART,1,26,Bimaculatus
236,BQCV,29.373,3738285.785,34.98,35,MART,1,26,Bimaculatus
86,DWV,31.544,89498.55134,83.52,41.8,MART,1,26,Vagans
103,DWV,27.684,709644.5208,83.82,41.9,MART,1,26,Vagans
218,DWV,32.076,85003.83065,142.13,35.5,MART,1,26,Bimaculatus
158,BQCV,30.06,198660.2574,140.3,35.1,MUDGE,0,0,Vagans
162,BQCV,29.904,237320.7623,79.55,39.8,MUDGE,0,0,Vagans
164,BQCV,30.646,262775.3009,109.36,54.7,MUDGE,0,0,Vagans
314,BQCV,27.347,409499.4201,145.15,36.3,MUDGE,0,0,Bimaculatus
317,BQCV,32.048,99902.83545,112.98,56.5,MUDGE,0,0,Bimaculatus
319,BQCV,29.424,126237.0342,139.11,34.8,MUDGE,0,0,Bimaculatus
323,BQCV,30.819,100143.4708,230.52,57.6,MUDGE,0,0,Bimaculatus
329,BQCV,30.554,65423.41371,135.79,33.9,MUDGE,0,0,Bimaculatus
330,BQCV,21.981,25582661.85,157.44,39.4,MUDGE,0,0,Bimaculatus
337,BQCV,30.138,581822.4193,136.68,68.3,MUDGE,0,0,Bimaculatus
341,BQCV,31.689,93576.47353,159.32,39.8,MUDGE,0,0,Bimaculatus
342,BQCV,27.292,1581822.862,159.12,39.8,MUDGE,0,0,Bimaculatus
375,BQCV,25.598,5337839.106,109.45,54.7,MUDGE,0,0,Bimaculatus
194,DWV,30.562,149461.4821,26.88,33.6,MUDGE,0,0,Vagans
83,BQCV,31.645,341552.9537,48.86,36.6,NEK,0,0,Vagans
138,BQCV,24.504,3855325.316,131.42,32.9,ONE,1,52,Vagans
139,BQCV,25.253,2239518.739,174.96,43.7,ONE,1,52,Vagans
140,BQCV,27.614,996428.8244,151.95,38,ONE,1,52,Vagans
145,BQCV,24.75,4472261.281,119.25,59.6,ONE,1,52,Vagans
147,BQCV,28.126,709944.7806,133.4,33.4,ONE,1,52,Vagans
150,BQCV,24.373,4880114.068,121.06,30.3,ONE,1,52,Vagans
151,BQCV,27.086,1339892.925,86.87,43.4,ONE,1,52,Griseocollis
152,BQCV,28.144,1335444.499,161.21,40.3,ONE,1,52,Vagans
153,BQCV,24.039,10120163.03,115.96,58,ONE,1,52,Vagans
285,BQCV,25.572,3075573.765,174.66,43.7,ONE,1,52,Bimaculatus
287,BQCV,24.743,9863941.947,199.16,49.8,ONE,1,52,Bimaculatus
288,BQCV,28.358,3973640.7,111.1,55.6,ONE,1,52,Bimaculatus
294,BQCV,24.538,2613931.965,204.66,51.2,ONE,1,52,Bimaculatus
334,BQCV,27.141,2865780.246,107.5,53.8,ONE,1,52,Bimaculatus
335,BQCV,29.128,529865.7803,145.09,36.3,ONE,1,52,Bimaculatus
338,BQCV,25.764,2730445.588,93.65,46.8,ONE,1,52,Bimaculatus
339,BQCV,28.028,3209313.196,92.5,46.3,ONE,1,52,Bimaculatus
340,BQCV,25.39,6295520.644,206.48,51.6,ONE,1,52,Bimaculatus
139,DWV,32.372,7978.628031,174.96,43.7,ONE,1,52,Vagans
346,BQCV,23.334,8235551.428,229.28,57.3,PAT,1,54,Bimaculatus
349,BQCV,23.846,7186410.844,187.25,46.8,PAT,1,54,Bimaculatus
350,BQCV,20.901,91127896.42,143.86,36,PAT,1,54,Bimaculatus
354,BQCV,19.867,92582678.48,157.76,39.4,PAT,1,54,Bimaculatus
355,BQCV,21.627,49147343.7,150.99,37.7,PAT,1,54,Griseocollis
360,BQCV,22.442,67070426.45,140.38,70.2,PAT,1,54,Bimaculatus
365,BQCV,22.233,169334999.1,82.38,41.2,PAT,1,54,Bimaculatus
367,BQCV,26.133,4577694.198,72.02,54,PAT,1,54,Bimaculatus
369,BQCV,23.804,28034759.34,130.3,32.6,PAT,1,54,Bimaculatus
374,BQCV,23.582,22715855.72,164.94,41.2,PAT,1,54,Bimaculatus
31,BQCV,25.108,4396586.883,97.03,48.5,RICE,0,17,Vagans
43,BQCV,27.36,1823784.967,77.09,38.5,RICE,0,17,Vagans
44,BQCV,28.02,862299.5006,147.84,37,RICE,0,17,Vagans
55,BQCV,27.759,1534683.125,129.06,32.3,RICE,0,17,Vagans
57,BQCV,26.098,4302163.981,96.05,48,RICE,0,17,Vagans
72,BQCV,27.066,989793.4952,107.46,53.7,RICE,0,17,Vagans
73,BQCV,23.322,37774778.43,51.51,38.6,RICE,0,17,Vagans
74,BQCV,28.123,784683.0883,65.96,33,RICE,0,17,Vagans
75,BQCV,30.728,84654.24325,85.66,42.8,RICE,0,17,Vagans
91,BQCV,32.477,21550.41705,162.27,40.6,RICE,0,17,Vagans
92,BQCV,27.909,5488419.086,23.35,35,RICE,0,17,Vagans
93,BQCV,25.458,5071391.667,124.72,62.4,RICE,0,17,Vagans
94,BQCV,24.972,4139082.799,42.57,31.9,RICE,0,17,Vagans
250,BQCV,26.117,3014018.719,115.47,57.7,RICE,0,17,Bimaculatus
255,BQCV,25.02,10240159.64,194.38,48.6,RICE,0,17,Bimaculatus
257,BQCV,24.684,4937754.984,171.73,42.9,RICE,0,17,Bimaculatus
258,BQCV,24.213,11636293.3,164.11,41,RICE,0,17,Bimaculatus
263,BQCV,23.163,29857893.43,211.82,53,RICE,0,17,Bimaculatus
270,BQCV,30.513,153509.5037,214.66,53.7,RICE,0,17,Bimaculatus
272,BQCV,28.816,1324746.614,140.44,35.1,RICE,0,17,Bimaculatus
273,BQCV,26.557,1542749.927,145.23,36.3,RICE,0,17,Bimaculatus
279,BQCV,28.035,866100.9742,252.39,63.1,RICE,0,17,Bimaculatus
92,DWV,30.493,434176.363,23.35,35,RICE,0,17,Vagans
39,BQCV,31.849,49694.30589,176.71,44.2,ROCK,0,7,Vagans
182,BQCV,28.329,431138.8762,179.89,45,ROCK,0,7,Vagans
185,BQCV,22.903,14514487.83,131.1,32.8,ROCK,0,7,Vagans
196,BQCV,29.005,587674.6661,109.64,54.8,ROCK,0,7,Vagans
199,BQCV,27.824,453455.0964,126.46,31.6,ROCK,0,7,Vagans
220,BQCV,29.863,452127.173,210.91,52.7,ROCK,0,7,Bimaculatus
223,BQCV,29.799,337226.357,183.22,45.8,ROCK,0,7,Bimaculatus
228,BQCV,28.885,2025341.706,157.11,39.3,ROCK,0,7,Bimaculatus
232,BQCV,30.535,484260.3668,175.19,43.8,ROCK,0,7,Bimaculatus
318,BQCV,26.959,769284.3959,181.33,45.3,ROCK,0,7,Bimaculatus
320,BQCV,28.328,717737.6967,166.05,41.5,ROCK,0,7,Bimaculatus
325,BQCV,27.584,760383.2822,208.6,52.2,ROCK,0,7,Bimaculatus
327,BQCV,27.814,1166769.836,165.63,41.4,ROCK,0,7,Bimaculatus
332,BQCV,27.14,2722837.011,146.22,73.1,ROCK,0,7,Bimaculatus
333,BQCV,25.402,6676572.667,157.67,39.4,ROCK,0,7,Bimaculatus
376,BQCV,32.005,70924.18144,194.68,48.7,ROCK,0,7,Vagans
377,BQCV,30.714,253630.4361,155.48,77.7,ROCK,0,7,Vagans
378,BQCV,27.142,2362300.776,143.39,71.7,ROCK,0,7,Bimaculatus
182,DWV,32.804,28641.55933,179.89,45,ROCK,0,7,Vagans
185,DWV,32.571,0,131.1,32.8,ROCK,0,7,Vagans
178,BQCV,25.444,6864845.342,121.16,30.3,SAND,0,4,Vagans
183,BQCV,25.019,6770006.985,98.95,49.5,SAND,0,4,Vagans
184,BQCV,21.473,42248787.04,184.62,46.2,SAND,0,4,Vagans
186,BQCV,25.291,8666498.703,89.02,44.5,SAND,0,4,Vagans
187,BQCV,23.696,27246823.31,73.06,36.5,SAND,0,4,Vagans
195,BQCV,29.534,171055.6574,98.8,49.4,SAND,0,4,Vagans
200,BQCV,29.671,285227.1888,219.69,54.9,SAND,0,4,Vagans
207,BQCV,26.627,1910319.778,233.3,58.3,SAND,0,4,Vagans
246,BQCV,23.558,32372204.54,199.78,49.9,SAND,0,4,Bimaculatus
247,BQCV,22.215,98004585.51,184.74,46.2,SAND,0,4,Bimaculatus
251,BQCV,23.3,43147580.75,139.67,34.9,SAND,0,4,Bimaculatus
253,BQCV,26.584,3254741.915,171.49,42.9,SAND,0,4,Bimaculatus
260,BQCV,22.011,33537473.74,219.94,55,SAND,0,4,Bimaculatus
261,BQCV,25.719,4444741.191,215.36,53.8,SAND,0,4,Bimaculatus
262,BQCV,26.932,3637032.925,101.06,50.5,SAND,0,4,Bimaculatus
267,BQCV,22.094,24156701.35,188.52,47.1,SAND,0,4,Bimaculatus
276,BQCV,27.672,700297.5024,169.11,42.3,SAND,0,4,Bimaculatus
277,BQCV,26.266,1282204.114,165.66,41.4,SAND,0,4,Bimaculatus
141,BQCV,26.901,1436303.838,120.54,30.1,SWAN,0,30,Vagans
142,BQCV,29.799,172579.4203,75.36,37.7,SWAN,0,30,Vagans
146,BQCV,29.506,239961.0631,148.46,37.1,SWAN,0,30,Vagans
148,BQCV,29.304,541393.2016,111.55,55.8,SWAN,0,30,Vagans
155,BQCV,25.991,2582536.392,127.43,31.9,SWAN,0,30,Vagans
156,BQCV,28.783,515008.9071,123.86,31,SWAN,0,30,Vagans
242,BQCV,29.773,1104044.109,159.14,39.8,SWAN,0,30,Bimaculatus
245,BQCV,25.408,4512247.524,233.68,58.4,SWAN,0,30,Bimaculatus
252,BQCV,26.539,5341475.905,184.08,46,SWAN,0,30,Bimaculatus
254,BQCV,23.969,14022465.08,116.01,29,SWAN,0,30,Bimaculatus
259,BQCV,26.111,1896150.66,224.24,56.1,SWAN,0,30,Bimaculatus
268,BQCV,29.625,387254.1035,150.67,37.7,SWAN,0,30,Bimaculatus
269,BQCV,25.475,3039174.802,192.79,48.2,SWAN,0,30,Bimaculatus
271,BQCV,30.622,269108.5343,140.83,35.2,SWAN,0,30,Bimaculatus
245,DWV,32.654,45288.0055,233.68,58.4,SWAN,0,30,Bimaculatus
165,BQCV,29.868,400459.1486,73.68,36.8,TIRE,0,0,Vagans
167,BQCV,32.312,98304.78087,112.58,56.3,TIRE,0,0,Vagans
170,BQCV,31.845,72066.599,142.18,35.5,TIRE,0,0,Vagans
173,BQCV,24.9,7546955.183,90.25,45.1,TIRE,0,0,Vagans
293,BQCV,31.871,14827.13739,211.38,52.8,TIRE,0,0,Bimaculatus
296,BQCV,31.969,67688.95979,164.56,41.1,TIRE,0,0,Bimaculatus
305,BQCV,28.617,270702.7834,170.5,42.6,TIRE,0,0,Vagans
306,BQCV,31.309,301582.1397,126.03,31.5,TIRE,0,0,Bimaculatus
35,BQCV,28.107,947123.9092,130.32,32.6,WHAL,1,45,Vagans
36,BQCV,30.731,63256.057,209.6,52.4,WHAL,1,45,Vagans
37,BQCV,30.385,178155.6641,133.36,33.3,WHAL,1,45,Vagans
38,BQCV,31.956,0,56.7,42.5,WHAL,1,45,Vagans
52,BQCV,27.472,326156.0456,120.81,30.2,WHAL,1,45,Vagans
53,BQCV,26.192,1217399.776,111.76,55.9,WHAL,1,45,Vagans
54,BQCV,29.163,118978.6591,115.2,57.6,WHAL,1,45,Vagans
71,BQCV,29.26,157265.6778,148.96,37.2,WHAL,1,45,Vagans
109,BQCV,28.95,271977.9035,120.31,30.1,WHAL,1,45,Vagans
110,BQCV,29.496,377431.732,118.5,59.3,WHAL,1,45,Vagans
112,BQCV,28.728,443946.2343,170.41,42.6,WHAL,1,45,Vagans
35,DWV,32.687,55330.66768,130.32,32.6,WHAL,1,45,Vagans
