# Experiment File Name : NearFarqPCR results,,,
# Created By :salger@uvm.edu,,,
# Last Modified Date : 2017-02-25,,,
# Instrument Type : StepOnePlus System,,,
ID,Virus,CqMean,QuantityMean
F26,BQCV,25.129,647.995
F27,BQCV,25.104,659.195
F28,BQCV,22.746,3191.635
F29,BQCV,25.141,642.812
F30,BQCV,23.735,1647.187
F31,BQCV,30.681,15.805
F32,BQCV,23.125,2477.025
F33,BQCV,21.244,8715.736
F34,BQCV,25.019,697.574
F35,BQCV,24.481,999.696
F36,BQCV,23.596,1807.831
F37,BQCV,28.959,50.001
F38,BQCV,22.199,4602.624
F39,BQCV,26.543,251.714
F40,BQCV,24.945,732.868
F41,BQCV,26.366,283.261
F21,IAPV,NA,NA
F22,IAPV,NA,NA
F23,IAPV,NA,NA
F24,IAPV,NA,NA
F25,IAPV,35.583,2.129
F26,IAPV,NA,NA
F27,IAPV,NA,NA
F28,IAPV,NA,NA
F29,IAPV,NA,NA
F30,IAPV,NA,NA
F31,IAPV,32.227,18.436
F32,IAPV,NA,NA
F33,IAPV,NA,NA
F34,IAPV,NA,NA
F35,IAPV,NA,NA
F36,IAPV,NA,NA
F37,IAPV,NA,NA
F38,IAPV,NA,NA
F39,IAPV,NA,NA
F40,IAPV,34.383,4.605
F41,IAPV,NA,NA
F21,ACTIN,16.353,436543.75
F22,ACTIN,17.257,244175.84
F23,ACTIN,16.811,325136.84
F24,ACTIN,16.923,302697.97
F25,ACTIN,16.975,292694
F26,ACTIN,16.897,307742.22
F27,ACTIN,17.793,173039.22
F28,ACTIN,16.925,302354.3
F29,ACTIN,17.075,274495.25
F30,ACTIN,16.684,352933.8
F31,ACTIN,29.961,69.686
F32,ACTIN,16.332,442426.75
F33,ACTIN,16.51,394536.75
F34,ACTIN,17.285,239815.9
F35,ACTIN,15.984,553261.1
F36,ACTIN,16.982,291437.78
F37,ACTIN,28.978,131.014
F38,ACTIN,16.316,446973.62
F39,ACTIN,16.635,364074.72
F40,ACTIN,17.375,226412.8
F41,ACTIN,18.512,109054.23
F44,DWV,30.875,16.684
F45,DWV,NA,NA
F47,DWV,NA,NA
F49,DWV,38.223,0.143
F51,DWV,38.815,0.098
F52,DWV,39.139,0.079
F53,DWV,NA,NA
F54,DWV,36.552,0.423
F56,DWV,NA,NA
F57,DWV,NA,NA
F58,DWV,35.61,0.778
F59,DWV,NA,NA
F60,DWV,30.819,17.305
F61,DWV,34.398,1.706
F44,BQCV,25.686,446.669
F45,BQCV,27.635,121.265
F47,BQCV,27.934,99.299
F49,BQCV,24.335,1102.553
F51,BQCV,24.078,1309.468
F52,BQCV,28.648,61.565
F53,BQCV,20.48,14533.71
F54,BQCV,23.993,1385.496
F56,BQCV,23.779,1599.474
F57,BQCV,23.327,2163.966
F58,BQCV,25.264,592.089
F59,BQCV,23.499,1928.935
F60,BQCV,26.131,331.697
F61,BQCV,24.542,959.952
F44,IAPV,NA,NA
F45,IAPV,NA,NA
F47,IAPV,36.128,1.499
F49,IAPV,NA,NA
F51,IAPV,NA,NA
F52,IAPV,NA,NA
F53,IAPV,NA,NA
F54,IAPV,NA,NA
F56,IAPV,34.745,3.649
F57,IAPV,NA,NA
F58,IAPV,NA,NA
F59,IAPV,NA,NA
F60,IAPV,NA,NA
F61,IAPV,NA,NA
F44,ACTIN,17.914,160124.89
F45,ACTIN,17.203,252788.39
F47,ACTIN,18.762,92887.71
F49,ACTIN,19.501,57777.984
F51,ACTIN,19.006,79383.48
F52,ACTIN,16.979,291948.22
F53,ACTIN,16.788,330124.3
F54,ACTIN,16.51,394656.66
F56,ACTIN,16.778,332307.1
F57,ACTIN,16.303,450809.25
F58,ACTIN,16.989,290079.94
F59,ACTIN,21.542,15562.535
F60,ACTIN,17.614,194135.97
F61,ACTIN,16.71,347034.4
F62,DWV,29.054,54.269
F63,DWV,33.462,3.127
F64,DWV,32.989,4.246
F65,DWV,32.31,6.59
F66,DWV,30.538,20.758
F67,DWV,30.116,27.271
F68,DWV,31.241,13.167
F69,DWV,29.864,32.118
F62,BQCV,22.488,3791.447
F63,BQCV,28.994,48.847
F64,BQCV,29.108,45.264
F65,BQCV,25.55,489.164
F66,BQCV,24.488,995.233
F67,BQCV,24.128,1266.249
F68,BQCV,27.056,178.543
F69,BQCV,24.631,904.152
F62,IAPV,NA,NA
F63,IAPV,NA,NA
F64,IAPV,NA,NA
F65,IAPV,NA,NA
F66,IAPV,NA,NA
F67,IAPV,37,0.856
F68,IAPV,NA,NA
F69,IAPV,39.205,0.207
F62,ACTIN,15.982,554035.9
F63,ACTIN,16.707,347639.22
F64,ACTIN,16.637,363700.16
F65,ACTIN,16.534,388459.5
F66,ACTIN,16.976,292610.1
F67,ACTIN,16.114,508836.16
F68,ACTIN,16.789,329954.88
F69,ACTIN,15.804,620915.3
