Date,Year,Site,Block,Transect,Observer,Temp(C),Wind(m/s),RH(%),Clouds(%),StartTime,EndTime,Flower,Flower abundance,BigBombus,Species list,SmallBombus,Species List,BigOrange,SmallOrange,Apis,BigBlack,SmallBlack,TinyBlack,Green,Flies,Other,Notes
6/26/18,2018,Dewing,West,1,EMW,24,0.4,27,10,13:20,13:30,Milkweed,NT,0,,1,,0,0,2,0,1,0,0,0,,
6/26/18,2018,Dewing,West,1,EMW,24,0.4,27,10,13:20,13:30,Weeds,NT,0,,0,,0,0,7,0,1,0,0,0,,
6/26/18,2018,Dewing,Central-D,1,EMW,24,0.4,27,10,13:50,14:00,Milkweed,NT,0,,0,,0,0,3,0,0,0,0,0,,
6/26/18,2018,Dewing,Central-D,1,EMW,24,0.4,27,10,13:50,14:00,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
6/26/18,2018,Dewing,East,1,EMW,24,0.4,27,10,14:30,14:40,Milkweed,NT,0,,0,,0,0,1,0,0,0,0,0,,
6/26/18,2018,Dewing,East,1,EMW,24,0.4,27,10,14:30,14:40,Weeds,NT,0,,0,,0,0,0,0,1,0,0,0,,
6/26/18,2018,Borderview,North,1,EMW,19.6,0.5,50,0,9:30,9:40,Milkweed,NT,0,,1,,0,0,16,0,0,0,0,0,,
6/26/18,2018,Borderview,North,1,EMW,19.6,0.5,50,0,9:30,9:40,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
6/26/18,2018,Borderview,Central-B,1,EMW,19.6,0.5,50,0,11:10,11:20,Milkweed,NT,0,,5,,0,0,45,0,0,0,0,0,,
6/26/18,2018,Borderview,Central-B,1,EMW,19.6,0.5,50,0,11:10,11:20,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
6/26/18,2018,Borderview,South,1,EMW,19.6,0.5,50,0,10:30,10:40,Milkweed,NT,0,,3,,0,0,68,0,0,0,0,0,,
6/26/18,2018,Borderview,South,1,EMW,19.6,0.5,50,0,10:30,10:40,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
7/3/18,2018,Borderview,South,1,EMW,30,1.8,57.2,0,12:10,12:20,Milkweed,,0,,8,,0,0,125,0,0,0,0,2,,
7/3/18,2018,Borderview,South,1,EMW,30,1.8,57.2,0,12:10,12:20,Weeds,,0,,0,,0,0,2,0,0,0,0,0,,
7/3/18,2018,Borderview,Central-B,1,EMW,30,1.8,57.2,0,12:45,12:57,Milkweed,,0,,5,,0,0,101,0,0,0,0,1,,
7/3/18,2018,Borderview,Central-B,1,EMW,30,1.8,57.2,0,12:45,12:57,Weeds,,0,,0,,0,0,1,0,0,0,0,0,,
7/3/18,2018,Borderview,North,1,EMW,30,1.8,57.2,0,13:25,13:35,Milkweed,,0,,7,,0,0,63,0,0,0,0,0,,
7/3/18,2018,Borderview,North,1,EMW,30,1.8,57.2,0,13:25,13:35,Weeds,,0,,0,,0,0,1,0,0,0,0,0,,
7/3/18,2018,Borderview,South,2,SPH,30,1.8,57.2,Sunny,12:06,12:16,Milkweed,3,0,,2,1 perplexus,0,0,57,0,0,0,0,2,,
7/3/18,2018,Borderview,South,2,SPH,30,1.8,57.2,Sunny,12:06,12:16,Weeds,1,1,Xylocopa virginica,0,,0,0,0,0,1,0,0,0,,
7/3/18,2018,Borderview,Central-B,2,SPH,30,1.8,57.2,Sunny,12:45,12:55,Milkweed,3,1,griseocollis,3,2 griseocollis,0,0,95,0,0,0,0,3,,
7/3/18,2018,Borderview,Central-B,2,SPH,30,1.8,57.2,Sunny,12:45,12:55,Weeds,1,0,,0,,0,0,0,0,0,0,0,1,,
7/3/18,2018,Borderview,North,2,SPH,30,1.8,57.2,Sunny,13:22,13:32,Milkweed,3,0,,13,"1 vagans, 1 impatiens, 2 terricola, 7 griseocollis, 1 ternarius",0,0,43,0,1,0,0,0,,
7/3/18,2018,Borderview,North,2,SPH,30,1.8,57.2,Sunny,13:22,13:32,Weeds,1,0,,0,,0,0,0,0,0,0,0,0,,
7/3/18,2018,Dewing,East,2,SPH,26.8,1.8,68.7,P. cloudy,8:53,9:03,Milkweed,1,0,,1,perplexus,0,0,9,0,1,0,0,9,1 lepidoptera,
7/3/18,2018,Dewing,East,2,SPH,26.8,1.8,68.7,P. cloudy,8:53,9:03,Weeds,2,2,1 impatiens,1,impatiens,0,0,0,0,1,0,0,2,2 lepidoptera,
7/3/18,2018,Dewing,Central-D,2,SPH,26.8,1.8,68.7,P. cloudy,9:34,9:44,Milkweed,2,0,,4,"2 vagans/sandersoni, 2 ternarius",0,0,20,0,0,0,0,6,,
7/3/18,2018,Dewing,Central-D,2,SPH,26.8,1.8,68.7,P. cloudy,9:34,9:44,Weeds,1,1,borealis,0,,0,0,0,0,2,0,0,0,,
7/3/18,2018,Dewing,West,2,SPH,26.8,1.8,68.7,P. cloudy,10:13,10:24,Milkweed,1,0,,1,,0,0,33,0,0,0,0,0,1 wasp,
7/3/18,2018,Dewing,West,2,SPH,26.8,1.8,68.7,P. cloudy,10:13,10:24,Weeds,2,0,,0,,0,0,0,0,0,0,0,0,,
7/3/18,2018,Dewing,East,1,EMW,26.8,1.8,68.7,P. cloudy,8:55,9:05,Milkweed,NT,0,,0,,0,0,14,0,0,0,0,24,4 Ladybugs,
7/3/18,2018,Dewing,East,1,EMW,26.8,1.8,68.7,P. cloudy,8:55,9:05,Weeds,NT,0,,1,,0,0,1,0,0,0,0,1,,
7/3/18,2018,Dewing,Central-D,1,EMW,26.8,1.8,68.7,P. cloudy,9:35,9:45,Milkweed,NT,0,,0,,0,0,40,0,0,0,0,1,1 Ladybug,
7/3/18,2018,Dewing,Central-D,1,EMW,26.8,1.8,68.7,P. cloudy,9:35,9:45,Weeds,NT,0,,0,,0,0,1,0,0,0,0,1,,
7/3/18,2018,Dewing,West,1,EMW,26.8,1.8,68.7,P. cloudy,10:13,10:24,Milkweed,NT,0,,1,,0,0,35,0,0,0,0,10,1 butterfly,
7/3/18,2018,Dewing,West,1,EMW,26.8,1.8,68.7,P. cloudy,10:13,10:24,Weeds,NT,0,,0,,0,0,0,0,0,0,0,0,,
7/10/18,2018,Borderview,South,2,SPH,24,0,62,50,9:22,9:32,Milkweed,1,0,,5,"3 griseocollis, 1 borealis",0,0,33,0,0,0,0,2,1 monarch,
7/10/18,2018,Borderview,South,2,SPH,24,0,62,50,9:22,9:32,Weeds,2,0,,0,,0,0,0,0,0,1,0,2,0,
7/10/18,2018,Borderview,Central-B,2,SPH,24,0,62,50,9:57,10:07,Milkweed,1,0,,7,"4 griseocollis, 1 terricola",0,0,24,0,0,0,0,1,1 monarch,
7/10/18,2018,Borderview,Central-B,2,SPH,24,0,62,50,9:57,10:07,Weeds,2,0,,0,,0,0,0,0,0,1,0,0,1 wasp,
7/10/18,2018,Borderview,North,2,SPH,24,0,62,50,10:37,10:19,Milkweed,1,0,,3,"2 griseocollis, 1 impatiens",0,0,28,0,0,0,0,2,1 monarch,
7/10/18,2018,Borderview,North,2,SPH,24,0,62,50,10:37,10:19,Weeds,1,0,,0,,0,0,0,0,0,0,0,1,,
7/10/18,2018,Dewing,West,2,SPH,28,2,51,50,12:34,12:46,Milkweed,2,0,,1,rufocinctus,0,0,28,0,0,0,0,33,1 wasp,
7/10/18,2018,Dewing,West,2,SPH,28,2,51,50,12:34,12:46,Weeds,1,0,,1,bimaculatus,0,0,1,0,0,0,0,0,,
7/10/18,2018,Dewing,Central-D,2,SPH,28,2,51,50,13:02,13:12,Milkweed,1,0,,1,ternarius,0,0,9,0,0,1,1,23,,
7/10/18,2018,Dewing,Central-D,2,SPH,28,2,51,50,13:02,13:12,Weeds,1,0,,0,,0,0,0,0,0,0,0,2,2 sulphur,
7/10/18,2018,Dewing,East,2,SPH,28,2,51,50,13:40,13:56,Milkweed,1,0,,2,1 fernaldae drone,0,0,2,0,0,0,0,27,1 sulphur,
7/10/18,2018,Dewing,East,2,SPH,28,2,51,50,13:40,13:56,Weeds,1,0,,8,"1 fernaldae drone, 1 bimac, 1 borealis, 3 ternarius",0,0,2,0,0,0,0,3,3 sulphur,
7/10/18,2018,Borderview,South,1,EMW,24,0,62,30,9:15,9:25,Milkweed,3,1,,1,,0,0,15,0,0,0,0,0,1 beetle,
7/10/18,2018,Borderview,South,1,EMW,24,0,62,30,9:15,9:25,Weeds,1,0,,0,,0,0,0,0,0,0,0,0,,
7/10/18,2018,Borderview,Central-B,1,EMW,24,0,62,30,10:00,10:10,Milkweed,3,0,,5,,0,0,52,0,0,0,0,0,,
7/10/18,2018,Borderview,Central-B,1,EMW,24,0,62,30,10:00,10:10,Weeds,2,0,,0,,0,0,1,0,0,0,0,0,,
7/10/18,2018,Borderview,North,1,EMW,24,0,62,30,10:37,10:48,Milkweed,3,0,,2,,0,0,62,0,0,0,0,2,,
7/10/18,2018,Borderview,North,1,EMW,24,0,62,30,10:37,10:48,Weeds,1,0,,0,,0,0,0,0,0,0,0,0,,
7/10/18,2018,Dewing,West,1,EMW,28,2,51,50,12:35,12:45,Milkweed,2,0,,1,,0,1,49,0,0,0,0,31,,
7/10/18,2018,Dewing,West,1,EMW,28,2,51,50,12:35,12:45,Weeds,2,0,,1,,0,0,0,0,0,0,0,0,,
7/10/18,2018,Dewing,Central-D,1,EMW,28,2,51,50,13:05,13:15,Milkweed,3,0,,2,,0,0,10,0,0,0,0,47,,
7/10/18,2018,Dewing,Central-D,1,EMW,28,2,51,50,13:05,13:15,Weeds,1,0,,1,,0,0,0,0,0,0,0,0,,
7/10/18,2018,Dewing,East,1,EMW,28,2,51,50,13:40,13:50,Milkweed,3,0,,2,,0,0,15,1,0,0,0,38,,
7/10/18,2018,Dewing,East,1,EMW,28,2,51,50,13:40,13:50,Weeds,1,0,,0,,0,0,0,0,0,0,0,0,,
7/10/19,2019,Borderview,North,1,SAA,,,,,10:15,10:25,Milkweed,2,0,,2,,0,0,37,0,0,0,0,NA,,
7/10/19,2019,Borderview,North,1,SAA,,,,,10:15,10:25,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,North,2,SAA,,,,,10:25,10:35,Milkweed,3,2,,5,,0,0,165,0,0,0,0,NA,,
7/10/19,2019,Borderview,North,2,SAA,,,,,10:25,10:35,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,Faith,1,SAA,,,,,11:22,11:32,Milkweed,3,5,,9,,0,0,172,0,0,0,0,NA,,
7/10/19,2019,Borderview,Faith,1,SAA,,,,,11:22,11:32,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,Faith,2,SAA,,,,,11:32,11:42,Milkweed,3,3,,3,,0,0,144,0,2,0,0,NA,,
7/10/19,2019,Borderview,Faith,2,SAA,,,,,11:32,11:42,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,Central-B,1,SAA,,,,,11:43,11:53,Milkweed,3,2,,1,,0,0,92,1,3,0,0,NA,,
7/10/19,2019,Borderview,Central-B,1,SAA,,,,,11:43,11:53,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,Central-B,2,SAA,,,,,11:53,12:03,Milkweed,3,1,,10,,0,0,95,0,2,0,0,NA,,
7/10/19,2019,Borderview,Central-B,2,SAA,,,,,11:53,12:03,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,Shore,1,SAA,,,,,12:30,12:40,Milkweed,3,0,,3,,0,1,125,0,5,1,0,NA,,
7/10/19,2019,Borderview,Shore,1,SAA,,,,,12:30,12:40,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,Shore,2,SAA,,,,,12:40,12:50,Milkweed,2,0,,3,1 terricola,0,0,148,0,3,0,0,NA,,
7/10/19,2019,Borderview,Shore,2,SAA,,,,,12:40,12:50,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,South,1,SAA,,,,,12:51,13:01,Milkweed,2,1,,3,,0,0,130,0,1,0,0,NA,,
7/10/19,2019,Borderview,South,1,SAA,,,,,12:51,13:01,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Borderview,South,2,SAA,,,,,13:01,13:11,Milkweed,2,1,,1,,0,0,105,0,3,0,0,NA,,
7/10/19,2019,Borderview,South,2,SAA,,,,,13:01,13:11,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Dewing,West,1,SAA,,,,,15:08,15:18,Milkweed,1,0,,1,,0,0,55,0,0,0,0,NA,,
7/10/19,2019,Dewing,West,1,SAA,,,,,15:08,15:18,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Dewing,West,2,SAA,,,,,15:18,15:28,Milkweed,2,0,,2,,0,1,75,0,0,0,0,NA,,
7/10/19,2019,Dewing,West,2,SAA,,,,,15:18,15:28,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Dewing,Central-D,1,SAA,,,,,15:52,16:02,Milkweed,2,0,,7,,0,2,60,0,0,0,0,NA,,
7/10/19,2019,Dewing,Central-D,1,SAA,,,,,15:52,16:02,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Dewing,Central-D,2,SAA,,,,,16:02,16:12,Milkweed,2,0,,8,,0,2,75,0,0,0,0,NA,,
7/10/19,2019,Dewing,Central-D,2,SAA,,,,,16:02,16:12,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Dewing,East,1,SAA,,,,,16:35,16:45,Milkweed,2,2,,9,,0,2,125,0,0,0,0,NA,,
7/10/19,2019,Dewing,East,1,SAA,,,,,16:35,16:45,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/10/19,2019,Dewing,East,2,SAA,,,,,16:45,16:55,Milkweed,2,0,,5,,0,1,153,0,0,0,0,0,,
7/10/19,2019,Dewing,East,2,SAA,,,,,16:45,16:55,Weeds,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,
7/18/19,2019,Borderview,North,1,SAA,,,,,9:30,9:40,Milkweed,1,0,,0,,0,0,1,0,0,0,0,NA,4 Monarchs,
7/18/19,2019,Borderview,North,2,SAA,,,,,9:40,9:50,Milkweed,1,0,,0,,0,0,0,0,0,0,0,NA,,
7/18/19,2019,Borderview,Faith,1,SAA,,,,,9:50,10:00,Milkweed,1,0,,0,,0,0,12,0,0,0,0,NA,7 Monarchs,
7/18/19,2019,Borderview,Faith,2,SAA,,,,,10:00,10:10,Milkweed,1,0,,0,,0,0,5,0,0,0,0,NA,3 Monarchs,
7/18/19,2019,Borderview,Central B,1,SAA,,,,,10:30,10:40,Milkweed,1,0,,0,,0,0,0,0,0,0,0,NA,5 Monarchs,
7/18/19,2019,Borderview,Central B,2,SAA,,,,,10:40,10:50,Milkweed,NA,0,,0,,0,0,4,0,0,0,0,NA,10 Monarchs,
7/18/19,2019,Borderview,Central B,2,SAA,,,,,10:40,10:50,Weeds,NA,0,,1,,0,0,0,0,0,0,0,NA,8 Monarchs,
7/18/19,2019,Borderview,Shore,1,SAA,,,,,11:20,11:30,Milkweed,1,0,,0,,0,0,4,0,1,0,0,NA,,
7/18/19,2019,Borderview,Shore,1,SAA,,,,,11:20,11:30,Weeds,1,0,,4,,0,0,0,0,0,0,0,NA,3 Monarchs,
7/18/19,2019,Borderview,Shore,2,SAA,,,,,11:30,11:40,Milkweed,2,0,,0,,0,0,1,0,0,0,1,NA,,
7/18/19,2019,Borderview,Shore,2,SAA,,,,,11:30,11:40,Weeds,2,0,,0,,0,0,0,0,0,0,0,NA,9 Monarchs,
7/18/19,2019,Borderview,South,1,SAA,,,,,12:08,12:18,Milkweed,1.5,0,,0,,0,0,6,0,0,0,0,NA,,
7/18/19,2019,Borderview,South,1,SAA,,,,,12:08,12:18,Weeds,1.5,0,,0,,0,0,0,0,0,0,0,NA,,
7/18/19,2019,Borderview,South,2,SAA,,,,,12:18,12:28,Milkweed,1,0,,0,,0,0,2,0,0,0,0,NA,6 Monarchs,
7/18/19,2019,Borderview,South,2,SAA,,,,,12:18,12:28,Weeds,1,0,,0,,0,0,0,0,0,0,0,NA,"7 Monarchs, 2 terricola",
7/18/19,2019,Dewing,East,1,SAA,,,,,3:05,3:15,Milkweed,3,0,,3,,0,0,65,0,0,0,0,NA,,
7/18/19,2019,Dewing,East,1,SAA,,,,,3:05,3:15,Weeds,3,0,,1,,0,0,1,0,0,0,0,NA,8 Monarchs,
7/18/19,2019,Dewing,East,2,SAA,,,,,3:15,3:25,Milkweed,3,0,,1,,0,0,62,0,0,0,0,NA,,
7/18/19,2019,Dewing,East,2,SAA,,,,,3:15,3:25,Weeds,3,0,,0,,0,0,0,0,0,0,0,NA,2 Monarchs,
7/18/19,2019,Dewing,Central D,1,SAA,,,,,3:45,3:55,Milkweed,3,0,,0,,0,2,50,0,0,0,0,NA,,
7/18/19,2019,Dewing,Central D,1,SAA,,,,,3:45,3:55,Weeds,3,0,,0,,0,0,0,0,0,1,0,NA,2 Monarchs,
7/18/19,2019,Dewing,Central D,2,SAA,,,,,3:55,4:05,Milkweed,2,0,,0,,0,0,38,0,0,0,0,NA,,
7/18/19,2019,Dewing,Central D,2,SAA,,,,,3:55,4:05,Weeds,2,0,,0,,0,0,0,0,0,0,0,NA,"4 Monarchs, 4 terricola",
7/18/19,2019,Dewing,West,1,SAA,,,,,4:06,4:16,Milkweed,2,0,,6,,0,0,2,0,0,0,0,NA,,
7/18/19,2019,Dewing,West,1,SAA,,,,,4:06,4:16,Weeds,2,0,,1,"""BFT""",0,0,0,0,0,0,0,NA,4 Monarchs,
7/18/19,2019,Dewing,West,2,SAA,,,,,4:16,4:26,Milkweed,3,0,,0,,0,1,85,0,0,0,0,NA,,
7/18/19,2019,Dewing,West,2,SAA,,,,,4:16,4:26,Weeds,3,0,,0,,0,0,0,0,0,0,0,NA,,
7/24/19,2019,Dewing,East,1,SAA,,,,,2:40,2:50,Milkweed,2,0,,0,,0,0,12,0,0,0,0,NA,11 Monarchs,Many mating Monarchs
7/24/19,2019,Dewing,East,1,SAA,,,,,2:40,2:50,Weeds,2,0,,0,,0,0,0,0,0,0,0,NA,,
7/24/19,2019,Dewing,East,2,SAA,,,,,2:52,3:03,Milkweed,2,0,,2,,0,2,18,0,1,0,0,NA,7 Monarchs,
7/24/19,2019,Dewing,East,2,SAA,,,,,2:52,3:03,Weeds,2,0,,0,,0,0,0,0,0,0,0,NA,,
7/24/19,2019,Dewing,Central D,1,SAA,,,,,3:33,3:43,Milkweed,2,1,,0,,0,0,11,0,0,0,0,NA,7 Monarchs,
7/24/19,2019,Dewing,Central D,1,SAA,,,,,3:33,3:43,Weeds,2,0,,0,,0,0,3,0,1,0,0,NA,,
7/24/19,2019,Dewing,Central D,2,SAA,,,,,3:44,3:59,Milkweed,2,1,,6,,0,2,36,0,0,0,0,NA,4 terricola,
7/24/19,2019,Dewing,Central D,2,SAA,,,,,3:44,3:59,Weeds,2,0,,0,,0,0,0,0,0,0,0,NA,,
7/24/19,2019,Dewing,West,1,SAA,,,,,4:20,4:30,Milkweed,2,0,,3,,0,0,28,0,1,1,0,NA,"4 Monarchs, 1 terricola",
7/24/19,2019,Dewing,West,1,SAA,,,,,4:20,4:30,Weeds,2,0,,0,,0,0,0,0,0,0,0,NA,,
7/24/19,2019,Dewing,West,2,SAA,,,,,4:30,4:40,Milkweed,2,0,,1,,0,1,25,0,0,0,0,NA,3 Monarchs. 1 terricola,
7/24/19,2019,Dewing,West,2,SAA,,,,,4:30,4:40,Weeds,2,0,,1,,0,0,0,0,0,0,0,NA,,
