Date,Site,Block,Point,Plants/1_m_squared,Observer
7/24/18,Borderview,South,49,28,SPH
7/24/18,Borderview,South,50,20,SPH
7/24/18,Borderview,South,51,14,SPH
7/24/18,Borderview,South,52,26,SPH
7/24/18,Borderview,South,53,23,SPH
7/24/18,Borderview,South,54,27,SPH
7/24/18,Borderview,South,55,35,SPH
7/24/18,Borderview,South,56,18,SPH
7/24/18,Borderview,South,57,21,SPH
7/24/18,Borderview,South,58,19,SPH
7/24/18,Borderview,South,59,19,SPH
7/24/18,Borderview,South,60,26,SPH
7/24/18,Borderview,South,61,19,SPH
7/24/18,Borderview,South,62,37,SPH
7/24/18,Borderview,South,63,30,SPH
7/24/18,Borderview,South,64,25,SPH
7/24/18,Borderview,South,65,24,SPH
7/24/18,Borderview,South,66,25,SPH
7/24/18,Borderview,South,67,29,SPH
7/24/18,Borderview,South,68,39,SPH
7/24/18,Borderview,South,69,21,SPH
7/24/18,Borderview,South,70,28,SPH
7/24/18,Borderview,South,71,26,SPH
7/24/18,Borderview,South,72,24,SPH
7/24/18,Borderview,South,73,16,SPH
7/24/18,Borderview,South,74,13,SPH
7/24/18,Borderview,South,75,25,SPH
7/24/18,Borderview,South,76,21,SPH
7/24/18,Borderview,South,77,9,SPH
7/24/18,Borderview,South,78,14,SPH
7/24/18,Borderview,South,79,10,SPH
7/24/18,Borderview,South,80,22,SPH
7/24/18,Borderview,South,81,19,SPH
7/24/18,Borderview,South,82,20,SPH
7/24/18,Borderview,South,83,24,SPH
7/24/18,Borderview,South,84,14,SPH
7/24/18,Borderview,South,85,38,SPH
7/24/18,Borderview,South,86,20,SPH
7/24/18,Borderview,South,87,17,SPH
7/24/18,Borderview,South,88,16,SPH
7/24/18,Borderview,South,89,26,SPH
7/24/18,Borderview,South,90,24,SPH
7/24/18,Borderview,South,91,12,SPH
7/24/18,Borderview,South,92,26,SPH
7/24/18,Borderview,South,93,37,SPH
7/24/18,Borderview,South,94,11,SPH
7/24/18,Borderview,South,95,39,SPH
7/24/18,Borderview,South,96,20,SPH
7/24/18,Borderview,South,97,16,SPH
7/24/18,Borderview,South,98,17,SPH
7/24/18,Borderview,South,99,24,SPH
7/24/18,Borderview,South,100,18,SPH
7/31/18,Borderview,North,51,30,SPH
7/31/18,Borderview,North,52,18,SPH
7/31/18,Borderview,North,53,9,SPH
7/31/18,Borderview,North,54,23,SPH
7/31/18,Borderview,North,55,9,SPH
7/31/18,Borderview,North,56,23,SPH
7/31/18,Borderview,North,57,20,SPH
7/31/18,Borderview,North,58,21,SPH
7/31/18,Borderview,North,59,24,SPH
7/31/18,Borderview,North,60,22,SPH
7/31/18,Borderview,North,61,27,SPH
7/31/18,Borderview,North,62,30,SPH
7/31/18,Borderview,North,63,25,SPH
7/31/18,Borderview,North,64,11,SPH
7/31/18,Borderview,North,65,17,SPH
7/31/18,Borderview,North,66,15,SPH
7/31/18,Borderview,North,67,20,SPH
7/31/18,Borderview,North,68,25,SPH
7/31/18,Borderview,North,69,21,SPH
7/31/18,Borderview,North,70,39,SPH
7/31/18,Borderview,North,71,23,SPH
7/31/18,Borderview,North,72,24,SPH
7/31/18,Borderview,North,73,25,SPH
7/31/18,Borderview,North,74,27,SPH
7/31/18,Borderview,North,75,17,SPH
7/31/18,Borderview,North,76,13,SPH
7/31/18,Borderview,North,77,21,SPH
7/31/18,Borderview,North,78,23,SPH
7/31/18,Borderview,North,79,21,SPH
7/31/18,Borderview,North,80,24,SPH
7/31/18,Borderview,North,81,23,SPH
7/31/18,Borderview,North,82,25,SPH
7/31/18,Borderview,North,83,21,SPH
7/31/18,Borderview,North,84,20,SPH
7/31/18,Borderview,North,85,19,SPH
7/31/18,Borderview,North,86,21,SPH
7/31/18,Borderview,North,87,20,SPH
7/31/18,Borderview,North,88,4,SPH
7/31/18,Borderview,North,89,25,SPH
7/31/18,Borderview,North,90,4,SPH
7/31/18,Borderview,North,91,26,SPH
7/31/18,Borderview,North,92,33,SPH
7/31/18,Borderview,North,93,29,SPH
7/31/18,Borderview,North,94,32,SPH
7/31/18,Borderview,North,95,21,SPH
7/31/18,Borderview,North,96,11,SPH
7/31/18,Borderview,North,97,13,SPH
7/31/18,Borderview,North,98,15,SPH
7/31/18,Borderview,North,99,15,SPH
7/31/18,Borderview,North,100,15,SPH
8/7/18,Dewing,West,1,13,SPH
8/7/18,Dewing,West,2,19,SPH
8/7/18,Dewing,West,3,7,SPH
8/7/18,Dewing,West,4,18,SPH
8/7/18,Dewing,West,5,25,SPH
8/7/18,Dewing,West,6,11,SPH
8/7/18,Dewing,West,7,11,SPH
8/7/18,Dewing,West,8,9,SPH
8/7/18,Dewing,West,9,36,SPH
8/7/18,Dewing,West,10,12,SPH
8/7/18,Dewing,West,11,20,SPH
8/7/18,Dewing,West,12,6,SPH
8/7/18,Dewing,West,13,22,SPH
8/7/18,Dewing,West,14,33,SPH
8/7/18,Dewing,West,15,17,SPH
8/7/18,Dewing,West,16,13,SPH
8/7/18,Dewing,West,17,14,SPH
8/7/18,Dewing,West,18,16,SPH
8/7/18,Dewing,West,19,24,SPH
8/7/18,Dewing,West,20,5,SPH
8/7/18,Dewing,West,21,5,SPH
8/7/18,Dewing,West,22,22,SPH
8/7/18,Dewing,West,23,8,SPH
8/7/18,Dewing,West,24,20,SPH
8/7/18,Dewing,West,25,3,SPH
8/7/18,Dewing,West,26,24,SPH
8/7/18,Dewing,West,27,14,SPH
8/7/18,Dewing,West,28,6,SPH
8/7/18,Dewing,West,29,22,SPH
8/7/18,Dewing,West,30,14,SPH
8/7/18,Dewing,West,31,20,SPH
8/7/18,Dewing,West,32,13,SPH
8/7/18,Dewing,West,33,13,SPH
8/7/18,Dewing,West,34,15,SPH
8/7/18,Dewing,West,35,9,SPH
8/7/18,Dewing,West,36,30,SPH
8/7/18,Dewing,West,37,19,SPH
8/7/18,Dewing,West,38,30,SPH
8/7/18,Dewing,West,39,8,SPH
8/7/18,Dewing,West,40,23,SPH
8/7/18,Dewing,West,41,27,SPH
8/7/18,Dewing,West,42,6,SPH
8/7/18,Dewing,West,43,23,SPH
8/7/18,Dewing,West,44,22,SPH
8/7/18,Dewing,West,45,13,SPH
8/7/18,Dewing,West,46,11,SPH
8/7/18,Dewing,West,47,1,SPH
8/7/18,Dewing,West,48,13,SPH
8/7/18,Dewing,West,49,14,SPH
8/7/18,Dewing,West,50,13,SPH
8/7/18,Dewing,West,51,8,SPH
8/7/18,Dewing,West,52,8,SPH
8/7/18,Dewing,West,53,8,SPH
8/7/18,Dewing,West,54,20,SPH
8/7/18,Dewing,West,55,24,SPH
8/7/18,Dewing,West,56,17,SPH
8/7/18,Dewing,West,57,17,SPH
8/7/18,Dewing,West,58,16,SPH
8/7/18,Dewing,West,59,15,SPH
8/7/18,Dewing,West,60,8,SPH
8/7/18,Dewing,West,61,13,SPH
8/7/18,Dewing,West,62,14,SPH
8/7/18,Dewing,West,63,6,SPH
8/7/18,Dewing,West,64,3,SPH
8/7/18,Dewing,West,65,12,SPH
8/7/18,Dewing,West,66,15,SPH
8/7/18,Dewing,West,67,17,SPH
8/7/18,Dewing,West,68,6,SPH
8/7/18,Dewing,West,69,8,SPH
8/7/18,Dewing,West,70,5,SPH
8/7/18,Dewing,West,71,23,SPH
8/7/18,Dewing,West,72,8,SPH
8/7/18,Dewing,West,73,14,SPH
8/7/18,Dewing,West,74,7,SPH
8/7/18,Dewing,West,75,13,SPH
8/7/18,Dewing,West,76,21,SPH
8/7/18,Dewing,West,77,12,SPH
8/7/18,Dewing,West,78,11,SPH
8/7/18,Dewing,West,79,14,SPH
8/7/18,Dewing,West,80,14,SPH
8/7/18,Dewing,West,81,12,SPH
8/7/18,Dewing,West,82,8,SPH
8/7/18,Dewing,West,83,11,SPH
8/7/18,Dewing,West,84,9,SPH
8/7/18,Dewing,West,85,6,SPH
8/7/18,Dewing,West,86,8,SPH
8/7/18,Dewing,West,87,9,SPH
8/7/18,Dewing,West,88,11,SPH
8/7/18,Dewing,West,89,7,SPH
8/7/18,Dewing,West,90,10,SPH
8/7/18,Dewing,West,91,11,SPH
8/7/18,Dewing,West,92,11,SPH
8/7/18,Dewing,West,93,16,SPH
8/7/18,Dewing,West,94,22,SPH
8/7/18,Dewing,West,95,14,SPH
8/7/18,Dewing,West,96,17,SPH
8/7/18,Dewing,West,97,20,SPH
8/7/18,Dewing,West,98,17,SPH
8/7/18,Dewing,West,99,4,SPH
8/7/18,Dewing,West,100,7,SPH
7/31/18,Borderview,North,1,17,EMW
7/31/18,Borderview,North,2,48,EMW
7/31/18,Borderview,North,3,16,EMW
7/31/18,Borderview,North,4,24,EMW
7/31/18,Borderview,North,5,17,EMW
7/31/18,Borderview,North,6,37,EMW
7/31/18,Borderview,North,7,23,EMW
7/31/18,Borderview,North,8,28,EMW
7/31/18,Borderview,North,9,28,EMW
7/31/18,Borderview,North,10,26,EMW
7/31/18,Borderview,North,11,19,EMW
7/31/18,Borderview,North,12,24,EMW
7/31/18,Borderview,North,13,23,EMW
7/31/18,Borderview,North,14,30,EMW
7/31/18,Borderview,North,15,27,EMW
7/31/18,Borderview,North,16,14,EMW
7/31/18,Borderview,North,17,39,EMW
7/31/18,Borderview,North,18,31,EMW
7/31/18,Borderview,North,19,40,EMW
7/31/18,Borderview,North,20,42,EMW
7/31/18,Borderview,North,21,26,EMW
7/31/18,Borderview,North,22,21,EMW
7/31/18,Borderview,North,23,24,EMW
7/31/18,Borderview,North,24,40,EMW
7/31/18,Borderview,North,25,26,EMW
7/31/18,Borderview,North,26,17,EMW
7/31/18,Borderview,North,27,14,EMW
7/31/18,Borderview,North,28,19,EMW
7/31/18,Borderview,North,29,33,EMW
7/31/18,Borderview,North,30,16,EMW
7/31/18,Borderview,North,31,25,EMW
7/31/18,Borderview,North,32,32,EMW
7/31/18,Borderview,North,33,19,EMW
7/31/18,Borderview,North,34,33,EMW
7/31/18,Borderview,North,35,26,EMW
7/31/18,Borderview,North,36,18,EMW
7/31/18,Borderview,North,37,14,EMW
7/31/18,Borderview,North,38,27,EMW
7/31/18,Borderview,North,39,24,EMW
7/31/18,Borderview,North,40,35,EMW
7/31/18,Borderview,North,41,22,EMW
7/31/18,Borderview,North,42,28,EMW
7/31/18,Borderview,North,43,20,EMW
7/31/18,Borderview,North,44,13,EMW
7/31/18,Borderview,North,45,32,EMW
7/31/18,Borderview,North,46,15,EMW
7/31/18,Borderview,North,47,15,EMW
7/31/18,Borderview,North,48,33,EMW
7/31/18,Borderview,North,49,31,EMW
7/31/18,Borderview,North,50,15,EMW
8/21/18,Borderview,Central-B,1,35,EMW
8/21/18,Borderview,Central-B,2,28,EMW
8/21/18,Borderview,Central-B,3,39,EMW
8/21/18,Borderview,Central-B,4,34,EMW
8/21/18,Borderview,Central-B,5,26,EMW
8/21/18,Borderview,Central-B,6,12,EMW
8/21/18,Borderview,Central-B,7,34,EMW
8/21/18,Borderview,Central-B,8,35,EMW
8/21/18,Borderview,Central-B,9,31,EMW
8/21/18,Borderview,Central-B,10,25,EMW
8/21/18,Borderview,Central-B,11,31,EMW
8/21/18,Borderview,Central-B,12,23,EMW
8/21/18,Borderview,Central-B,13,15,EMW
8/21/18,Borderview,Central-B,14,24,EMW
8/21/18,Borderview,Central-B,15,16,EMW
8/21/18,Borderview,Central-B,16,16,EMW
8/21/18,Borderview,Central-B,17,35,EMW
8/21/18,Borderview,Central-B,18,40,EMW
8/21/18,Borderview,Central-B,19,36,EMW
8/21/18,Borderview,Central-B,20,28,EMW
8/21/18,Borderview,Central-B,21,20,EMW
8/21/18,Borderview,Central-B,22,30,EMW
8/21/18,Borderview,Central-B,23,27,EMW
8/21/18,Borderview,Central-B,24,18,EMW
8/21/18,Borderview,Central-B,25,22,EMW
8/21/18,Borderview,Central-B,26,12,EMW
8/21/18,Borderview,Central-B,27,27,EMW
8/21/18,Borderview,Central-B,28,24,EMW
8/21/18,Borderview,Central-B,29,35,EMW
8/21/18,Borderview,Central-B,30,22,EMW
8/21/18,Borderview,Central-B,31,14,EMW
8/21/18,Borderview,Central-B,32,22,EMW
8/21/18,Borderview,Central-B,33,17,EMW
8/21/18,Borderview,Central-B,34,17,EMW
8/21/18,Borderview,Central-B,35,24,EMW
8/21/18,Borderview,Central-B,36,28,EMW
8/21/18,Borderview,Central-B,37,23,EMW
8/21/18,Borderview,Central-B,38,22,EMW
8/21/18,Borderview,Central-B,39,29,EMW
8/21/18,Borderview,Central-B,40,31,EMW
8/21/18,Borderview,Central-B,41,23,EMW
8/21/18,Borderview,Central-B,42,21,EMW
8/21/18,Borderview,Central-B,43,34,EMW
8/21/18,Borderview,Central-B,44,36,EMW
8/21/18,Borderview,Central-B,45,41,EMW
8/21/18,Borderview,Central-B,46,25,EMW
8/21/18,Borderview,Central-B,47,21,EMW
8/21/18,Borderview,Central-B,48,22,EMW
8/21/18,Borderview,Central-B,49,45,EMW
8/21/18,Borderview,Central-B,50,34,EMW
8/21/18,Dewing,East,1,24,EMW
8/21/18,Dewing,East,2,23,EMW
8/21/18,Dewing,East,3,23,EMW
8/21/18,Dewing,East,4,12,EMW
8/21/18,Dewing,East,5,18,EMW
8/21/18,Dewing,East,6,14,EMW
8/21/18,Dewing,East,7,15,EMW
8/21/18,Dewing,East,8,12,EMW
8/21/18,Dewing,East,9,11,EMW
8/21/18,Dewing,East,10,12,EMW
8/21/18,Dewing,East,11,14,EMW
8/21/18,Dewing,East,12,18,EMW
8/21/18,Dewing,East,13,20,EMW
8/21/18,Dewing,East,14,13,EMW
8/21/18,Dewing,East,15,12,EMW
8/21/18,Dewing,East,16,20,EMW
8/21/18,Dewing,East,17,12,EMW
8/21/18,Dewing,East,18,16,EMW
8/21/18,Dewing,East,19,17,EMW
8/21/18,Dewing,East,20,20,EMW
8/21/18,Dewing,East,21,14,EMW
8/21/18,Dewing,East,22,13,EMW
8/21/18,Dewing,East,23,23,EMW
8/21/18,Dewing,East,24,16,EMW
8/21/18,Dewing,East,25,12,EMW
8/21/18,Dewing,East,26,16,EMW
8/21/18,Dewing,East,27,10,EMW
8/21/18,Dewing,East,28,2,EMW
8/21/18,Dewing,East,29,4,EMW
8/21/18,Dewing,East,30,0,EMW
8/21/18,Dewing,East,31,2,EMW
8/21/18,Dewing,East,32,4,EMW
8/21/18,Dewing,East,33,0,EMW
8/21/18,Dewing,East,34,16,EMW
8/21/18,Dewing,East,35,11,EMW
8/21/18,Dewing,East,36,10,EMW
8/21/18,Dewing,East,37,8,EMW
8/21/18,Dewing,East,38,6,EMW
8/21/18,Dewing,East,39,7,EMW
8/21/18,Dewing,East,40,10,EMW
8/21/18,Dewing,East,41,1,EMW
8/21/18,Dewing,East,42,13,EMW
8/21/18,Dewing,East,43,13,EMW
8/21/18,Dewing,East,44,20,EMW
8/21/18,Dewing,East,45,9,EMW
8/21/18,Dewing,East,46,15,SPH
8/21/18,Dewing,East,47,19,SPH
8/21/18,Dewing,East,48,14,SPH
8/21/18,Dewing,East,49,14,SPH
8/21/18,Dewing,East,50,13,SPH
8/21/18,Dewing,East,51,21,SPH
8/21/18,Dewing,East,52,16,SPH
8/21/18,Dewing,East,53,14,SPH
8/21/18,Dewing,East,54,17,SPH
8/21/18,Dewing,East,55,17,SPH
8/21/18,Dewing,East,56,5,SPH
8/21/18,Dewing,East,57,10,SPH
8/21/18,Dewing,East,58,17,SPH
8/21/18,Dewing,East,59,11,SPH
8/21/18,Dewing,East,60,11,SPH
8/21/18,Dewing,East,61,8,SPH
8/21/18,Dewing,East,62,11,SPH
8/21/18,Dewing,East,63,11,SPH
8/21/18,Dewing,East,64,8,SPH
8/21/18,Dewing,East,65,20,SPH
8/21/18,Dewing,East,66,10,SPH
8/21/18,Dewing,East,67,16,SPH
8/21/18,Dewing,East,68,1,SPH
8/21/18,Dewing,East,69,25,SPH
8/21/18,Dewing,East,70,18,SPH
8/21/18,Dewing,East,71,16,SPH
8/21/18,Dewing,East,72,13,SPH
8/21/18,Dewing,East,73,17,SPH
8/21/18,Dewing,East,74,12,SPH
8/21/18,Dewing,East,75,19,SPH
8/21/18,Dewing,East,76,6,SPH
8/21/18,Dewing,East,77,10,SPH
8/21/18,Dewing,East,78,6,SPH
8/21/18,Dewing,East,79,3,SPH
8/21/18,Dewing,East,80,2,SPH
8/21/18,Dewing,East,81,5,SPH
8/21/18,Dewing,East,82,0,SPH
8/21/18,Dewing,East,83,10,SPH
8/21/18,Dewing,East,84,12,SPH
8/21/18,Dewing,East,85,9,SPH
8/21/18,Dewing,East,86,8,SPH
8/21/18,Dewing,East,87,10,SPH
8/21/18,Dewing,East,88,16,SPH
8/21/18,Dewing,East,89,12,SPH
8/21/18,Dewing,East,90,13,SPH
8/21/18,Dewing,East,91,14,SPH
8/21/18,Dewing,East,92,10,SPH
8/21/18,Dewing,East,93,10,SPH
8/21/18,Dewing,East,94,11,SPH
8/21/18,Dewing,East,95,7,SPH
8/21/18,Dewing,East,96,6,SPH
8/21/18,Dewing,East,97,7,SPH
8/21/18,Dewing,East,98,19,SPH
8/21/18,Dewing,East,99,8,SPH
8/21/18,Dewing,East,100,3,SPH
8/21/18,Borderview,Central-B,51,19,SPH
8/21/18,Borderview,Central-B,52,22,SPH
8/21/18,Borderview,Central-B,53,29,SPH
8/21/18,Borderview,Central-B,54,21,SPH
8/21/18,Borderview,Central-B,55,28,SPH
8/21/18,Borderview,Central-B,56,12,SPH
8/21/18,Borderview,Central-B,57,24,SPH
8/21/18,Borderview,Central-B,58,35,SPH
8/21/18,Borderview,Central-B,59,39,SPH
8/21/18,Borderview,Central-B,60,19,SPH
8/21/18,Borderview,Central-B,61,31,SPH
8/21/18,Borderview,Central-B,62,23,SPH
8/21/18,Borderview,Central-B,63,16,SPH
8/21/18,Borderview,Central-B,64,28,SPH
8/21/18,Borderview,Central-B,65,22,SPH
8/21/18,Borderview,Central-B,66,20,SPH
8/21/18,Borderview,Central-B,67,25,SPH
8/21/18,Borderview,Central-B,68,19,SPH
8/21/18,Borderview,Central-B,69,18,SPH
8/21/18,Borderview,Central-B,70,11,SPH
8/21/18,Borderview,Central-B,71,13,SPH
8/21/18,Borderview,Central-B,72,13,SPH
8/21/18,Borderview,Central-B,73,15,SPH
8/21/18,Borderview,Central-B,74,28,SPH
8/21/18,Borderview,Central-B,75,20,SPH
8/21/18,Borderview,Central-B,76,19,SPH
8/21/18,Borderview,Central-B,77,21,SPH
8/21/18,Borderview,Central-B,78,18,SPH
8/21/18,Borderview,Central-B,79,17,SPH
8/21/18,Borderview,Central-B,80,11,SPH
8/21/18,Borderview,Central-B,81,28,SPH
8/21/18,Borderview,Central-B,82,14,SPH
8/21/18,Borderview,Central-B,83,17,SPH
8/21/18,Borderview,Central-B,84,13,SPH
8/21/18,Borderview,Central-B,85,15,SPH
8/21/18,Borderview,Central-B,86,17,SPH
8/21/18,Borderview,Central-B,87,12,SPH
8/21/18,Borderview,Central-B,88,20,SPH
8/21/18,Borderview,Central-B,89,18,SPH
8/21/18,Borderview,Central-B,90,32,SPH
8/21/18,Borderview,Central-B,91,30,SPH
8/21/18,Borderview,Central-B,92,33,SPH
8/21/18,Borderview,Central-B,93,36,SPH
8/21/18,Borderview,Central-B,94,35,SPH
8/21/18,Borderview,Central-B,95,33,SPH
8/21/18,Borderview,Central-B,96,34,SPH
8/21/18,Borderview,Central-B,97,33,SPH
8/21/18,Borderview,Central-B,98,10,SPH
8/21/18,Borderview,Central-B,99,9,SPH
8/21/18,Borderview,Central-B,100,17,SPH
9/3/18,Dewing,Central-D,1,15,SPH
9/3/18,Dewing,Central-D,2,13,SPH
9/3/18,Dewing,Central-D,3,14,SPH
9/3/18,Dewing,Central-D,4,16,SPH
9/3/18,Dewing,Central-D,5,10,SPH
9/3/18,Dewing,Central-D,6,1,SPH
9/3/18,Dewing,Central-D,7,9,SPH
9/3/18,Dewing,Central-D,8,12,SPH
9/3/18,Dewing,Central-D,9,8,SPH
9/3/18,Dewing,Central-D,10,0,SPH
9/3/18,Dewing,Central-D,11,8,SPH
9/3/18,Dewing,Central-D,12,6,SPH
9/3/18,Dewing,Central-D,13,8,SPH
9/3/18,Dewing,Central-D,14,5,SPH
9/3/18,Dewing,Central-D,15,3,SPH
9/3/18,Dewing,Central-D,16,0,SPH
9/3/18,Dewing,Central-D,17,9,SPH
9/3/18,Dewing,Central-D,18,2,SPH
9/3/18,Dewing,Central-D,19,5,SPH
9/3/18,Dewing,Central-D,20,1,SPH
9/3/18,Dewing,Central-D,21,12,SPH
9/3/18,Dewing,Central-D,22,16,SPH
9/3/18,Dewing,Central-D,23,13,SPH
9/3/18,Dewing,Central-D,24,5,SPH
9/3/18,Dewing,Central-D,25,10,SPH
9/3/18,Dewing,Central-D,26,16,SPH
9/3/18,Dewing,Central-D,27,10,SPH
9/3/18,Dewing,Central-D,28,11,SPH
9/3/18,Dewing,Central-D,29,16,SPH
9/3/18,Dewing,Central-D,30,13,SPH
9/3/18,Dewing,Central-D,31,14,SPH
9/3/18,Dewing,Central-D,32,16,SPH
9/3/18,Dewing,Central-D,33,23,SPH
9/3/18,Dewing,Central-D,34,19,SPH
9/3/18,Dewing,Central-D,35,19,SPH
9/3/18,Dewing,Central-D,36,11,SPH
9/3/18,Dewing,Central-D,37,12,SPH
9/3/18,Dewing,Central-D,38,7,SPH
9/3/18,Dewing,Central-D,39,21,SPH
9/3/18,Dewing,Central-D,40,20,SPH
9/3/18,Dewing,Central-D,41,6,SPH
9/3/18,Dewing,Central-D,42,13,SPH
9/3/18,Dewing,Central-D,43,12,SPH
9/3/18,Dewing,Central-D,44,16,SPH
9/3/18,Dewing,Central-D,45,15,SPH
9/3/18,Dewing,Central-D,46,24,SPH
9/3/18,Dewing,Central-D,47,14,SPH
9/3/18,Dewing,Central-D,48,8,SPH
9/3/18,Dewing,Central-D,49,20,SPH
9/3/18,Dewing,Central-D,50,20,SPH
9/3/18,Dewing,Central-D,51,1,SPH
9/3/18,Dewing,Central-D,52,9,SPH
9/3/18,Dewing,Central-D,53,11,SPH
9/3/18,Dewing,Central-D,54,10,SPH
9/3/18,Dewing,Central-D,55,25,SPH
9/3/18,Dewing,Central-D,56,10,SPH
9/3/18,Dewing,Central-D,57,23,SPH
9/3/18,Dewing,Central-D,58,8,SPH
9/3/18,Dewing,Central-D,59,7,SPH
9/3/18,Dewing,Central-D,60,16,SPH
9/3/18,Dewing,Central-D,61,10,SPH
9/3/18,Dewing,Central-D,62,12,SPH
9/3/18,Dewing,Central-D,63,10,SPH
9/3/18,Dewing,Central-D,64,6,SPH
9/3/18,Dewing,Central-D,65,7,SPH
9/3/18,Dewing,Central-D,66,7,SPH
9/3/18,Dewing,Central-D,67,11,SPH
9/3/18,Dewing,Central-D,68,17,SPH
9/3/18,Dewing,Central-D,69,9,SPH
9/3/18,Dewing,Central-D,70,7,SPH
9/3/18,Dewing,Central-D,71,12,SPH
9/3/18,Dewing,Central-D,72,8,SPH
9/3/18,Dewing,Central-D,73,15,SPH
9/3/18,Dewing,Central-D,74,7,SPH
9/3/18,Dewing,Central-D,75,10,SPH
9/3/18,Dewing,Central-D,76,11,SPH
9/3/18,Dewing,Central-D,77,9,SPH
9/3/18,Dewing,Central-D,78,15,SPH
9/3/18,Dewing,Central-D,79,15,SPH
9/3/18,Dewing,Central-D,80,14,SPH
9/3/18,Dewing,Central-D,81,12,SPH
9/3/18,Dewing,Central-D,82,13,SPH
9/3/18,Dewing,Central-D,83,5,SPH
9/3/18,Dewing,Central-D,84,7,SPH
9/3/18,Dewing,Central-D,85,4,SPH
9/3/18,Dewing,Central-D,86,8,SPH
9/3/18,Dewing,Central-D,87,4,SPH
9/3/18,Dewing,Central-D,88,14,SPH
9/3/18,Dewing,Central-D,89,5,SPH
9/3/18,Dewing,Central-D,90,12,SPH
9/3/18,Dewing,Central-D,91,17,SPH
9/3/18,Dewing,Central-D,92,12,SPH
9/3/18,Dewing,Central-D,93,13,SPH
9/3/18,Dewing,Central-D,94,6,SPH
9/3/18,Dewing,Central-D,95,19,SPH
9/3/18,Dewing,Central-D,96,16,SPH
9/3/18,Dewing,Central-D,97,13,SPH
9/3/18,Dewing,Central-D,98,15,SPH
9/3/18,Dewing,Central-D,99,13,SPH
9/3/18,Dewing,Central-D,100,9,SPH
7/3/19,Dewing,West,1,39,FNN
7/3/19,Dewing,West,2,11,FNN
7/3/19,Dewing,West,3,26,FNN
7/3/19,Dewing,West,4,20,FNN
7/3/19,Dewing,West,5,43,FNN
7/3/19,Dewing,West,6,24,FNN
7/3/19,Dewing,West,7,27,FNN
7/3/19,Dewing,West,8,56,FNN
7/3/19,Dewing,West,9,31,FNN
7/3/19,Dewing,West,10,49,FNN
7/3/19,Dewing,West,11,25,FNN
7/3/19,Dewing,West,12,28,FNN
7/3/19,Dewing,West,13,13,FNN
7/3/19,Dewing,West,14,0,FNN
7/3/19,Dewing,West,15,43,FNN
7/3/19,Dewing,West,16,39,FNN
7/3/19,Dewing,West,17,40,FNN
7/3/19,Dewing,West,18,23,FNN
7/3/19,Dewing,West,19,36,FNN
7/3/19,Dewing,West,20,39,FNN
7/3/19,Dewing,West,21,32,FNN
7/3/19,Dewing,West,22,17,FNN
7/3/19,Dewing,West,23,46,FNN
7/3/19,Dewing,West,24,47,FNN
7/3/19,Dewing,West,25,40,FNN
7/3/19,Dewing,West,26,52,FNN
7/3/19,Dewing,West,27,15,FNN
7/3/19,Dewing,West,28,13,FNN
7/3/19,Dewing,West,29,33,FNN
7/3/19,Dewing,West,30,29,FNN
7/3/19,Dewing,West,31,58,FNN
7/3/19,Dewing,West,32,20,FNN
7/3/19,Dewing,West,33,37,FNN
7/3/19,Dewing,West,34,23,FNN
7/3/19,Dewing,West,35,36,FNN
