Treatment,ID,Field ID,SamplingEvent,PrePostTreatVarroa,Varroa,Honey,DateDied,Strength,notes,status
TFQ,14,TFQ-14,1,NA,2,NA,03/21/17,NA,Varroa,2
TFQ,15,TFQ-15,1,NA,3,NA,02/08/17,NA,Varroa,2
C,1,C-1,2,NA,15,1.5,NA,NA,NA,
C,2,C-2,2,NA,25,1,NA,NA,NA,
C,3,C-3,2,NA,26,1.5,NA,NA,NA,
C,4,C-4,2,NA,37,2,NA,NA,NA,
C,5,C-5,2,NA,25,2.5,NA,NA,NA,
C,6,C-6,2,NA,37,1.5,NA,NA,NA,
C,7,C-7,2,NA,NA,NA,NA,NA,NA,
C,8,C-8,2,NA,50,1,NA,NA,NA,
C,9,C-9,2,NA,35,1.5,NA,NA,NA,
C,10,C-10,2,NA,48,2,NA,NA,NA,
C,11,C-11,2,NA,18,0.5,NA,NA,NA,
C,12,C-12,2,NA,19,2.5,NA,NA,NA,
C,13,C-13,2,NA,17,2,NA,NA,NA,
C,14,C-14,2,NA,27,1.5,NA,NA,NA,
C,15,C-15,2,NA,25,1.5,NA,NA,NA,
QS,1,QS-1,2,Post,52,1.5,NA,NA,NA,
QS,2,QS-2,2,Post,NA,0.5,NA,NA,NA,
QS,3,QS-3,2,Post,10,0,NA,NA,NA,
QS,4,QS-4,2,Post,16,1,NA,NA,NA,
QS,5,QS-5,2,Post,17,2,NA,NA,NA,
QS,6,QS-6,2,Post,5,3.25,NA,NA,NA,
QS,7,QS-7,2,Post,3,1,NA,NA,NA,
QS,8,QS-8,2,Post,11,2.5,NA,NA,NA,
QS,9,QS-9,2,Post,4,1,NA,NA,NA,
QS,10,QS-10,2,Post,8,1,NA,NA,NA,
QS,11,QS-11,2,Post,10,0.5,NA,NA,NA,
QS,12,QS-12,2,Post,NA,NA,NA,NA,NA,
QS,13,QS-13,2,Post,7,0.5,NA,NA,NA,
QS,14,QS-14,2,Post,NA,0,NA,NA,NA,
QS,15,QS-15,2,Post,14,3,NA,NA,NA,
TF,1,TF-1,2,NA,1,0,NA,NA,NA,
TF,2,TF-2,2,NA,3,0,NA,NA,NA,
TF,3,TF-3,2,NA,NA,NA,NA,NA,NA,
TF,4,TF-4,2,NA,NA,NA,NA,NA,NA,
TF,5,TF-5,2,NA,3,0,NA,NA,NA,
TF,6,TF-6,2,NA,NA,NA,NA,NA,NA,
TF,7,TF-7,2,NA,13,0,NA,NA,NA,
TF,8,TF-8,2,NA,NA,NA,NA,NA,NA,
TF,9,TF-9,2,NA,29,0,NA,NA,NA,
TF,10,TF-10,2,NA,6,0,NA,NA,NA,
TF,11,TF-11,2,NA,2,0,NA,NA,NA,
TF,12,TF-12,2,NA,15,0,NA,NA,NA,
TF,13,TF-13,2,NA,NA,NA,NA,NA,NA,
TF,14,TF-14,2,NA,4,0,NA,NA,NA,
TF,15,TF-15,2,NA,6,0,NA,NA,NA,
TFQ,1,TFQ-1,2,NA,15,0.5,NA,NA,NA,
TFQ,2,TFQ-2,2,NA,2,0,NA,NA,NA,
TFQ,3,TFQ-3,2,NA,12,0,NA,NA,NA,
TFQ,4,TFQ-4,2,NA,5,0,NA,NA,NA,
TFQ,5,TFQ-5,2,NA,13,0,NA,NA,NA,
TFQ,6,TFQ-6,2,NA,4,0,NA,NA,NA,
TFQ,7,TFQ-7,2,NA,5,0,NA,NA,NA,
TFQ,8,TFQ-8,2,NA,18,0,NA,NA,NA,
TFQ,9,TFQ-9,2,NA,17,0,NA,NA,NA,
TFQ,10,TFQ-10,2,NA,10,0.5,NA,NA,NA,
TFQ,11,TFQ-11,2,NA,4,0,NA,NA,NA,
TFQ,12,TFQ-12,2,NA,6,0,NA,NA,NA,
TFQ,13,TFQ-13,2,NA,25,0.5,NA,NA,NA,
TFQ,14,TFQ-14,2,NA,12,0,NA,NA,NA,
TFQ,15,TFQ-15,2,NA,12,0,NA,NA,NA,
C,1,C-1,3,NA,NA,NA,NA,NA,NA,
C,2,C-2,3,NA,NA,NA,NA,NA,NA,
C,3,C-3,3,NA,NA,NA,NA,NA,NA,
C,4,C-4,3,NA,NA,NA,NA,NA,NA,
C,5,C-5,3,NA,3,NA,NA,537,NA,
C,6,C-6,3,NA,NA,NA,NA,NA,NA,
C,7,C-7,3,NA,NA,NA,NA,NA,NA,
C,8,C-8,3,NA,NA,NA,NA,NA,NA,
C,9,C-9,3,NA,NA,NA,NA,NA,NA,
C,10,C-10,3,NA,NA,NA,NA,NA,NA,
C,11,C-11,3,NA,5,NA,NA,329,NA,
C,12,C-12,3,NA,4,NA,NA,611,NA,
C,13,C-13,3,NA,NA,NA,NA,NA,NA,
C,14,C-14,3,NA,9,NA,NA,507,NA,
C,15,C-15,3,NA,2,NA,NA,299,NA,
QS,1,QS-1,3,NA,NA,NA,NA,NA,NA,
QS,2,QS-2,3,NA,0,NA,NA,NA,NA,
QS,3,QS-3,3,NA,4,NA,NA,NA,NA,
QS,4,QS-4,3,NA,4,NA,NA,NA,NA,
QS,5,QS-5,3,NA,5,NA,NA,NA,NA,
QS,6,QS-6,3,NA,4,NA,NA,NA,NA,
QS,7,QS-7,3,NA,3,NA,NA,NA,NA,
QS,8,QS-8,3,NA,NA,NA,NA,NA,NA,
QS,9,QS-9,3,NA,9,NA,NA,NA,NA,
QS,10,QS-10,3,NA,5,NA,NA,NA,NA,
QS,11,QS-11,3,NA,6,NA,NA,NA,NA,
QS,12,QS-12,3,NA,NA,NA,NA,NA,NA,
QS,13,QS-13,3,NA,3,NA,NA,NA,NA,
QS,14,QS-14,3,NA,NA,NA,NA,NA,NA,
QS,15,QS-15,3,NA,7,NA,NA,NA,NA,
TF,1,TF-1,3,NA,2,NA,NA,548,NA,
TF,2,TF-2,3,NA,1,NA,NA,69,NA,
TF,3,TF-3,3,NA,NA,NA,NA,NA,NA,
TF,4,TF-4,3,NA,NA,NA,NA,NA,NA,
TF,5,TF-5,3,NA,2,NA,NA,409,NA,
TF,6,TF-6,3,NA,NA,NA,NA,NA,NA,
TF,7,TF-7,3,NA,4,NA,NA,245,NA,
TF,8,TF-8,3,NA,NA,NA,NA,NA,NA,
TF,9,TF-9,3,NA,NA,NA,NA,NA,NA,
TF,10,TF-10,3,NA,6,NA,NA,711,NA,
TF,11,TF-11,3,NA,3,NA,NA,247,NA,
TF,12,TF-12,3,NA,NA,NA,NA,NA,NA,
TF,13,TF-13,3,NA,NA,NA,NA,NA,NA,
TF,14,TF-14,3,NA,4,NA,NA,504,NA,
TF,15,TF-15,3,NA,13,NA,NA,713,NA,
TFQ,1,TFQ-1,3,NA,NA,NA,NA,NA,NA,
TFQ,2,TFQ-2,3,NA,5,NA,NA,379,NA,
TFQ,3,TFQ-3,3,NA,5,NA,NA,485,NA,
TFQ,4,TFQ-4,3,NA,0,NA,NA,405,NA,
TFQ,5,TFQ-5,3,NA,NA,NA,NA,170,NA,
TFQ,6,TFQ-6,3,NA,6,NA,NA,309,NA,
TFQ,7,TFQ-7,3,NA,NA,NA,NA,NA,NA,
TFQ,8,TFQ-8,3,NA,NA,NA,NA,NA,NA,
TFQ,9,TFQ-9,3,NA,NA,NA,NA,NA,NA,
TFQ,10,TFQ-10,3,NA,NA,NA,NA,NA,NA,
TFQ,11,TFQ-11,3,NA,0,NA,NA,415,NA,
TFQ,12,TFQ-12,3,NA,1,NA,NA,490,NA,
TFQ,13,TFQ-13,3,NA,NA,NA,NA,NA,NA,
TFQ,14,TFQ-14,3,NA,NA,NA,NA,NA,NA,
TFQ,15,TFQ-15,3,NA,NA,NA,NA,NA,NA,
C,1,C-1,4,NA,NA,NA,NA,NA,NA,
C,2,C-2,4,NA,NA,NA,NA,NA,NA,
C,3,C-3,4,NA,NA,NA,NA,NA,NA,
C,4,C-4,4,NA,NA,NA,NA,NA,NA,
C,5,C-5,4,NA,16,3.5,NA,NA,NA,
C,6,C-6,4,NA,NA,NA,NA,NA,NA,
C,7,C-7,4,NA,NA,NA,NA,NA,NA,
C,8,C-8,4,NA,NA,NA,NA,NA,NA,
C,9,C-9,4,NA,NA,NA,NA,NA,NA,
C,10,C-10,4,NA,NA,NA,NA,NA,NA,
C,11,C-11,4,NA,48,2.5,NA,NA,NA,
C,12,C-12,4,NA,14,3,NA,NA,NA,
C,13,C-13,4,NA,NA,NA,NA,NA,NA,
C,14,C-14,4,NA,31,1,NA,NA,NA,
C,15,C-15,4,NA,21,2,NA,NA,NA,
QS,1,QS-1,4,Post,NA,NA,NA,NA,NA,
QS,2,QS-2,4,Post,5,2,NA,NA,NA,
QS,3,QS-3,4,Post,2,2,NA,NA,NA,
QS,4,QS-4,4,Post,1,4,NA,NA,NA,
QS,5,QS-5,4,Post,6,4,NA,NA,NA,
QS,6,QS-6,4,Post,NA,NA,NA,NA,NA,
QS,7,QS-7,4,Post,3,5,NA,NA,NA,
QS,8,QS-8,4,Post,NA,NA,NA,NA,NA,
QS,9,QS-9,4,Post,0,4,NA,NA,NA,
QS,10,QS-10,4,Post,NA,4,NA,NA,NA,
QS,11,QS-11,4,Post,NA,NA,NA,NA,NA,
QS,12,QS-12,4,Post,NA,NA,NA,NA,NA,
QS,13,QS-13,4,Post,NA,NA,NA,NA,NA,
QS,14,QS-14,4,Post,NA,NA,NA,NA,NA,
QS,15,QS-15,4,Post,3,3,NA,NA,NA,
TF,1,TF-1,4,NA,9,0,NA,NA,NA,
TF,2,TF-2,4,NA,NA,0,NA,NA,NA,
TF,3,TF-3,4,NA,NA,NA,NA,NA,NA,
TF,4,TF-4,4,NA,NA,NA,NA,NA,NA,
TF,5,TF-5,4,NA,2,0,NA,NA,NA,
TF,6,TF-6,4,NA,NA,NA,NA,NA,NA,
TF,7,TF-7,4,NA,2,0,NA,NA,NA,
TF,8,TF-8,4,NA,NA,NA,NA,NA,NA,
TF,9,TF-9,4,NA,NA,NA,NA,NA,NA,
TF,10,TF-10,4,NA,18,1,NA,NA,NA,
TF,11,TF-11,4,NA,3,0,NA,NA,NA,
TF,12,TF-12,4,NA,NA,NA,NA,NA,NA,
TF,13,TF-13,4,NA,NA,NA,NA,NA,NA,
TF,14,TF-14,4,NA,4,0,NA,NA,NA,
TF,15,TF-15,4,NA,2,0,NA,NA,NA,
TFQ,1,TFQ-1,4,NA,NA,NA,NA,NA,NA,
TFQ,2,TFQ-2,4,NA,70,2,NA,NA,NA,
TFQ,3,TFQ-3,4,NA,54,1,NA,NA,NA,
TFQ,4,TFQ-4,4,NA,2,0,NA,NA,NA,
TFQ,5,TFQ-5,4,NA,NA,NA,NA,NA,NA,
TFQ,6,TFQ-6,4,NA,4,4,NA,NA,NA,
TFQ,7,TFQ-7,4,NA,NA,NA,NA,NA,NA,
TFQ,8,TFQ-8,4,NA,NA,NA,NA,NA,NA,
TFQ,9,TFQ-9,4,NA,NA,NA,NA,NA,NA,
TFQ,10,TFQ-10,4,NA,NA,NA,NA,NA,NA,
TFQ,11,TFQ-11,4,NA,4,0,NA,NA,NA,
TFQ,12,TFQ-12,4,NA,2,3,NA,NA,NA,
TFQ,13,TFQ-13,4,NA,NA,NA,NA,NA,NA,
TFQ,14,TFQ-14,4,NA,NA,NA,NA,NA,NA,
TFQ,15,TFQ-15,4,NA,NA,NA,NA,NA,NA,
QS,1,QS-1,3,Pre,23,NA,NA,NA,NA,
QS,2,QS-2,3,Pre,26,NA,NA,NA,NA,
QS,3,QS-3,3,Pre,22,NA,NA,NA,NA,
QS,4,QS-4,3,Pre,24,NA,NA,NA,NA,
QS,5,QS-5,3,Pre,27,NA,NA,NA,NA,
QS,6,QS-6,3,Pre,32,NA,NA,NA,NA,
QS,7,QS-7,3,Pre,24,NA,NA,NA,NA,
QS,8,QS-8,3,Pre,26,NA,NA,NA,NA,
QS,9,QS-9,3,Pre,33,NA,NA,NA,NA,
QS,10,QS-10,3,Pre,11,NA,NA,NA,NA,
QS,11,QS-11,3,Pre,45,NA,NA,NA,NA,
QS,12,QS-12,3,Pre,NA,NA,NA,NA,NA,
QS,13,QS-13,3,Pre,36,NA,NA,NA,NA,
QS,14,QS-14,3,Pre,17,NA,NA,NA,NA,
QS,15,QS-15,3,Pre,25,NA,NA,NA,NA,
QS,1,QS-1,4,Pre,NA,NA,NA,NA,NA,
QS,2,QS-2,4,Pre,19,NA,NA,NA,NA,
QS,3,QS-3,4,Pre,6,NA,NA,NA,NA,
QS,4,QS-4,4,Pre,22,NA,NA,NA,NA,
QS,5,QS-5,4,Pre,16,NA,NA,NA,NA,
QS,6,QS-6,4,Pre,NA,NA,NA,NA,NA,
QS,7,QS-7,4,Pre,14,NA,NA,NA,NA,
QS,8,QS-8,4,Pre,NA,NA,NA,NA,NA,
QS,9,QS-9,4,Pre,14,NA,NA,NA,NA,
QS,10,QS-10,4,Pre,NA,NA,NA,NA,NA,
QS,11,QS-11,4,Pre,NA,NA,NA,NA,NA,
QS,12,QS-12,4,Pre,NA,NA,NA,NA,NA,
QS,13,QS-13,4,Pre,NA,NA,NA,NA,NA,
QS,14,QS-14,4,Pre,NA,NA,NA,NA,NA,
QS,15,QS-15,4,Pre,29,NA,NA,NA,NA,
QS,1,QS-1,5,NA,NA,NA,NA,NA,NA,
QS,2,QS-2,5,NA,4,NA,NA,NA,NA,
QS,3,QS-3,5,NA,5,NA,NA,NA,NA,
QS,4,QS-4,5,NA,1,NA,NA,NA,NA,
QS,5,QS-5,5,NA,0,NA,NA,NA,NA,
QS,6,QS-6,5,NA,NA,NA,NA,NA,NA,
QS,7,QS-7,5,NA,7,NA,NA,NA,NA,
QS,8,QS-8,5,NA,NA,NA,NA,NA,NA,
QS,9,QS-9,5,NA,2,NA,NA,NA,NA,
QS,10,QS-10,5,NA,NA,NA,NA,NA,NA,
QS,11,QS-11,5,NA,NA,NA,NA,NA,NA,
QS,12,QS-12,5,NA,NA,NA,NA,NA,NA,
QS,13,QS-13,5,NA,NA,NA,NA,NA,NA,
QS,14,QS-14,5,NA,NA,NA,NA,NA,NA,
QS,15,QS-15,5,NA,1,NA,NA,NA,NA,
TF,1,TF-1,5,NA,7,NA,NA,NA,NA,
TF,2,TF-2,5,NA,5,NA,NA,NA,NA,
TF,3,TF-3,5,NA,NA,NA,NA,NA,NA,
TF,4,TF-4,5,NA,NA,NA,NA,NA,NA,
TF,5,TF-5,5,NA,6,NA,NA,NA,NA,
TF,6,TF-6,5,NA,NA,NA,NA,NA,NA,
TF,7,TF-7,5,NA,3,NA,NA,NA,NA,
TF,8,TF-8,5,NA,NA,NA,NA,NA,NA,
TF,9,TF-9,5,NA,NA,NA,NA,NA,NA,
TF,10,TF-10,5,NA,2,NA,NA,NA,NA,
TF,11,TF-11,5,NA,3,NA,NA,NA,NA,
TF,12,TF-12,5,NA,NA,NA,NA,NA,NA,
TF,13,TF-13,5,NA,NA,NA,NA,NA,NA,
TF,14,TF-14,5,NA,2,NA,NA,NA,NA,
TF,15,TF-15,5,NA,1,NA,NA,NA,NA,
TFQ,1,TFQ-1,5,NA,NA,NA,NA,NA,NA,
TFQ,2,TFQ-2,5,NA,NA,NA,NA,NA,NA,
TFQ,3,TFQ-3,5,NA,NA,NA,NA,NA,NA,
TFQ,4,TFQ-4,5,NA,1,NA,NA,NA,NA,
TFQ,5,TFQ-5,5,NA,NA,NA,NA,NA,NA,
TFQ,6,TFQ-6,5,NA,1,NA,NA,NA,NA,
TFQ,7,TFQ-7,5,NA,NA,NA,NA,NA,NA,
TFQ,8,TFQ-8,5,NA,NA,NA,NA,NA,NA,
TFQ,9,TFQ-9,5,NA,NA,NA,NA,NA,NA,
TFQ,10,TFQ-10,5,NA,NA,NA,NA,NA,NA,
TFQ,11,TFQ-11,5,NA,1,NA,NA,NA,NA,
TFQ,12,TFQ-12,5,NA,NA,NA,NA,NA,NA,
TFQ,13,TFQ-13,5,NA,NA,NA,NA,NA,NA,
TFQ,14,TFQ-14,5,NA,NA,NA,NA,NA,NA,
TFQ,15,TFQ-15,5,NA,NA,NA,NA,NA,NA,
QS,1,QS-1,6,NA,NA,NA,NA,NA,NA,
QS,2,QS-2,6,NA,18,4,NA,NA,NA,
QS,3,QS-3,6,NA,46,3,NA,NA,NA,
QS,4,QS-4,6,NA,17,2,NA,NA,NA,
QS,5,QS-5,6,NA,NA,NA,NA,NA,NA,
QS,6,QS-6,6,NA,NA,NA,NA,NA,NA,
QS,7,QS-7,6,NA,8,2.5,NA,NA,NA,
QS,8,QS-8,6,NA,NA,NA,NA,NA,NA,
QS,9,QS-9,6,NA,5,1.5,NA,NA,NA,
QS,10,QS-10,6,NA,NA,NA,NA,NA,NA,
QS,11,QS-11,6,NA,NA,NA,NA,NA,NA,
QS,12,QS-12,6,NA,NA,NA,NA,NA,NA,
QS,13,QS-13,6,NA,NA,NA,NA,NA,NA,
QS,14,QS-14,6,NA,NA,NA,NA,NA,NA,
QS,15,QS-15,6,NA,14,4.5,NA,NA,NA,
TF,1,TF-1,6,NA,19,1,NA,NA,NA,
TF,2,TF-2,6,NA,17,1,NA,NA,NA,
TF,3,TF-3,6,NA,NA,NA,NA,NA,NA,
TF,4,TF-4,6,NA,NA,NA,NA,NA,NA,
TF,5,TF-5,6,NA,0,0,NA,NA,NA,
TF,6,TF-6,6,NA,NA,NA,NA,NA,NA,
TF,7,TF-7,6,NA,NA,0.5,NA,NA,NA,
TF,8,TF-8,6,NA,NA,NA,NA,NA,NA,
TF,9,TF-9,6,NA,NA,NA,NA,NA,NA,
TF,10,TF-10,6,NA,7,0,NA,NA,NA,
TF,11,TF-11,6,NA,10,0,NA,NA,NA,
TF,12,TF-12,6,NA,NA,NA,NA,NA,NA,
TF,13,TF-13,6,NA,NA,NA,NA,NA,NA,
TF,14,TF-14,6,NA,40,1,NA,NA,NA,
TF,15,TF-15,6,NA,NA,NA,NA,NA,NA,
TFQ,1,TFQ-1,6,NA,NA,NA,NA,NA,NA,
TFQ,2,TFQ-2,6,NA,NA,NA,NA,NA,NA,
TFQ,3,TFQ-3,6,NA,NA,NA,NA,NA,NA,
TFQ,4,TFQ-4,6,NA,45,2,NA,NA,NA,
TFQ,5,TFQ-5,6,NA,NA,NA,NA,NA,NA,
TFQ,6,TFQ-6,6,NA,10,0.5,NA,NA,NA,
TFQ,7,TFQ-7,6,NA,NA,NA,NA,NA,NA,
TFQ,8,TFQ-8,6,NA,NA,NA,NA,NA,NA,
TFQ,9,TFQ-9,6,NA,NA,NA,NA,NA,NA,
TFQ,10,TFQ-10,6,NA,NA,NA,NA,NA,NA,
TFQ,11,TFQ-11,6,NA,5,0,NA,NA,NA,
TFQ,12,TFQ-12,6,NA,7,0,NA,NA,NA,
TFQ,13,TFQ-13,6,NA,NA,NA,NA,NA,NA,
TFQ,14,TFQ-14,6,NA,NA,NA,NA,NA,NA,
TFQ,15,TFQ-15,6,NA,NA,NA,NA,NA,NA,
TF,5,TF-5,7,NA,1,NA,NA,NA,NA,
QS,9,QS-9,7,NA,4,NA,NA,NA,NA,
TFQ,6,TFQ-6,7,NA,7,NA,NA,NA,NA,
TFQ,12,TFQ-12,7,NA,2,NA,NA,NA,NA,
