Treatment,ID,Field ID,SamplingEvent,PrePostTreatVarroa,Varroa,Honey,Survival,Strength
C,5,C-5,2,,25,2.5,,
C,6,C-6,2,,37,1.5,,
C,7,C-7,2,,NA,,,
C,8,C-8,2,,50,1,,
C,9,C-9,2,,35,1.5,,
C,10,C-10,2,,48,2,,
C,11,C-11,2,,18,0.5,,
C,12,C-12,2,,19,2.5,,
C,13,C-13,2,,17,2,,
C,14,C-14,2,,27,1.5,,
C,15,C-15,2,,25,1.5,,
QS,1,QS-1,2,Post,52,1.5,,
QS,2,QS-2,2,Post,NA,0.5,,
QS,3,QS-3,2,Post,10,0,,
QS,4,QS-4,2,Post,16,1,,
QS,5,QS-5,2,Post,17,2,,
QS,6,QS-6,2,Post,5,3.25,,
QS,7,QS-7,2,Post,3,1,,
QS,8,QS-8,2,Post,11,2.5,,
QS,9,QS-9,2,Post,4,1,,
QS,10,QS-10,2,Post,8,1,,
QS,11,QS-11,2,Post,10,0.5,,
QS,12,QS-12,2,Post,NA,,,
QS,13,QS-13,2,Post,7,0.5,,
QS,14,QS-14,2,Post,NA,0,,
QS,15,QS-15,2,Post,14,3,,
TF,1,TF-1,2,,1,0,,
TF,2,TF-2,2,,3,0,,
TF,3,TF-3,2,,NA,,,
TF,4,TF-4,2,,NA,,,
TF,5,TF-5,2,,3,0,,
TF,6,TF-6,2,,NA,,,
TF,7,TF-7,2,,13,0,,
TF,8,TF-8,2,,NA,,,
TF,9,TF-9,2,,29,0,,
TF,10,TF-10,2,,6,0,,
TF,11,TF-11,2,,2,0,,
TF,12,TF-12,2,,15,0,,
TF,13,TF-13,2,,NA,,,
TF,14,TF-14,2,,4,0,,
TF,15,TF-15,2,,6,0,,
TFQ,1,TFQ-1,2,,15,0.5,,
TFQ,2,TFQ-2,2,,2,0,,
TFQ,3,TFQ-3,2,,12,0,,
TFQ,4,TFQ-4,2,,5,0,,
TFQ,5,TFQ-5,2,,13,0,,
TFQ,6,TFQ-6,2,,4,0,,
TFQ,7,TFQ-7,2,,5,0,,
TFQ,8,TFQ-8,2,,18,0,,
TFQ,9,TFQ-9,2,,17,0,,
TFQ,10,TFQ-10,2,,10,0.5,,
TFQ,11,TFQ-11,2,,4,0,,
TFQ,12,TFQ-12,2,,6,0,,
TFQ,13,TFQ-13,2,,25,0.5,,
TFQ,14,TFQ-14,2,,12,0,,
TFQ,15,TFQ-15,2,,12,0,,
C,1,C-1,3,,NA,,,
C,2,C-2,3,,NA,,,
C,3,C-3,3,,NA,,,
C,4,C-4,3,,NA,,,
C,5,C-5,3,,3,,,537
C,6,C-6,3,,NA,,,
C,7,C-7,3,,NA,,,
C,8,C-8,3,,NA,,,
C,9,C-9,3,,NA,,,
C,10,C-10,3,,NA,,,
C,11,C-11,3,,5,,,329
C,12,C-12,3,,4,,,611
C,13,C-13,3,,NA,,,
C,14,C-14,3,,9,,,507
C,15,C-15,3,,2,,,299
QS,1,QS-1,3,,NA,,,
QS,2,QS-2,3,,0,,,
QS,3,QS-3,3,,4,,,
QS,4,QS-4,3,,4,,,
QS,5,QS-5,3,,5,,,
QS,6,QS-6,3,,4,,,
QS,7,QS-7,3,,3,,,
QS,8,QS-8,3,,NA,,,
QS,9,QS-9,3,,9,,,
QS,10,QS-10,3,,5,,,
QS,11,QS-11,3,,6,,,
QS,12,QS-12,3,,NA,,,
QS,13,QS-13,3,,3,,,
QS,14,QS-14,3,,NA,,,
QS,15,QS-15,3,,7,,,
TF,1,TF-1,3,,2,,,548
TF,2,TF-2,3,,1,,,69
TF,3,TF-3,3,,NA,,,
TF,4,TF-4,3,,NA,,,
TF,5,TF-5,3,,2,,,409
TF,6,TF-6,3,,NA,,,
TF,7,TF-7,3,,4,,,245
TF,8,TF-8,3,,NA,,,
TF,9,TF-9,3,,NA,,,
TF,10,TF-10,3,,6,,,711
TF,11,TF-11,3,,3,,,247
TF,12,TF-12,3,,NA,,,
TF,13,TF-13,3,,NA,,,
TF,14,TF-14,3,,4,,,504
TF,15,TF-15,3,,13,,,713
TFQ,1,TFQ-1,3,,NA,,,
TFQ,2,TFQ-2,3,,5,,,379
TFQ,3,TFQ-3,3,,5,,,485
TFQ,4,TFQ-4,3,,0,,,405
TFQ,5,TFQ-5,3,,NA,,,170
TFQ,6,TFQ-6,3,,6,,,309
TFQ,7,TFQ-7,3,,NA,,,
TFQ,8,TFQ-8,3,,NA,,,
TFQ,9,TFQ-9,3,,NA,,,
TFQ,10,TFQ-10,3,,NA,,,
TFQ,11,TFQ-11,3,,0,,,415
TFQ,12,TFQ-12,3,,1,,,490
TFQ,13,TFQ-13,3,,NA,,,
TFQ,14,TFQ-14,3,,NA,,,
TFQ,15,TFQ-15,3,,NA,,,
C,1,C-1,4,,NA,,,
C,2,C-2,4,,NA,,,
C,3,C-3,4,,NA,,,
C,4,C-4,4,,NA,,,
C,5,C-5,4,,16,3.5,,
C,6,C-6,4,,NA,,,
C,7,C-7,4,,NA,,,
C,8,C-8,4,,NA,,,
C,9,C-9,4,,NA,,,
C,10,C-10,4,,NA,,,
C,11,C-11,4,,48,2.5,,
C,12,C-12,4,,14,3,,
C,13,C-13,4,,NA,,,
C,14,C-14,4,,31,1,,
C,15,C-15,4,,21,2,,
QS,1,QS-1,4,Post,NA,,,
QS,2,QS-2,4,Post,5,2,,
QS,3,QS-3,4,Post,2,2,,
QS,4,QS-4,4,Post,1,4,,
QS,5,QS-5,4,Post,6,4,,
QS,6,QS-6,4,Post,NA,,,
QS,7,QS-7,4,Post,3,5,,
QS,8,QS-8,4,Post,NA,,,
QS,9,QS-9,4,Post,0,4,,
QS,10,QS-10,4,Post,NA,4,,
QS,11,QS-11,4,Post,NA,,,
QS,12,QS-12,4,Post,NA,,,
QS,13,QS-13,4,Post,NA,,,
QS,14,QS-14,4,Post,NA,,,
QS,15,QS-15,4,Post,3,3,,
TF,1,TF-1,4,,9,0,,
TF,2,TF-2,4,,NA,0,,
TF,3,TF-3,4,,NA,,,
TF,4,TF-4,4,,NA,,,
TF,5,TF-5,4,,2,0,,
TF,6,TF-6,4,,NA,,,
TF,7,TF-7,4,,2,0,,
TF,8,TF-8,4,,NA,,,
TF,9,TF-9,4,,NA,,,
TF,10,TF-10,4,,18,1,,
TF,11,TF-11,4,,3,0,,
TF,12,TF-12,4,,NA,,,
TF,13,TF-13,4,,NA,,,
TF,14,TF-14,4,,4,0,,
TF,15,TF-15,4,,2,0,,
TFQ,1,TFQ-1,4,,NA,,,
TFQ,2,TFQ-2,4,,70,2,,
TFQ,3,TFQ-3,4,,54,1,,
TFQ,4,TFQ-4,4,,2,0,,
TFQ,5,TFQ-5,4,,NA,,,
TFQ,6,TFQ-6,4,,4,4,,
TFQ,7,TFQ-7,4,,NA,,,
TFQ,8,TFQ-8,4,,NA,,,
TFQ,9,TFQ-9,4,,NA,,,
TFQ,10,TFQ-10,4,,NA,,,
TFQ,11,TFQ-11,4,,4,0,,
TFQ,12,TFQ-12,4,,2,3,,
TFQ,13,TFQ-13,4,,NA,,,
TFQ,14,TFQ-14,4,,NA,,,
TFQ,15,TFQ-15,4,,NA,,,
QS,1,QS-1,3,Pre,23,,,
QS,2,QS-2,3,Pre,26,,,
QS,3,QS-3,3,Pre,22,,,
QS,4,QS-4,3,Pre,24,,,
QS,5,QS-5,3,Pre,27,,,
QS,6,QS-6,3,Pre,32,,,
QS,7,QS-7,3,Pre,24,,,
QS,8,QS-8,3,Pre,26,,,
QS,9,QS-9,3,Pre,33,,,
QS,10,QS-10,3,Pre,11,,,
QS,11,QS-11,3,Pre,45,,,
QS,12,QS-12,3,Pre,NA,,,
QS,13,QS-13,3,Pre,36,,,
QS,14,QS-14,3,Pre,17,,,
QS,15,QS-15,3,Pre,25,,,
QS,1,QS-1,4,Pre,NA,,,
QS,2,QS-2,4,Pre,19,,,
QS,3,QS-3,4,Pre,6,,,
QS,4,QS-4,4,Pre,22,,,
QS,5,QS-5,4,Pre,16,,,
QS,6,QS-6,4,Pre,NA,,,
QS,7,QS-7,4,Pre,14,,,
QS,8,QS-8,4,Pre,NA,,,
QS,9,QS-9,4,Pre,14,,,
QS,10,QS-10,4,Pre,NA,,,
QS,11,QS-11,4,Pre,NA,,,
QS,12,QS-12,4,Pre,NA,,,
QS,13,QS-13,4,Pre,NA,,,
QS,14,QS-14,4,Pre,NA,,,
QS,15,QS-15,4,Pre,29,,,
QS,1,QS-1,5,,NA,,,
QS,2,QS-2,5,,4,,,
QS,3,QS-3,5,,5,,,
QS,4,QS-4,5,,1,,,
QS,5,QS-5,5,,0,,,
QS,6,QS-6,5,,NA,,,
QS,7,QS-7,5,,7,,,
QS,8,QS-8,5,,NA,,,
QS,9,QS-9,5,,2,,,
QS,10,QS-10,5,,NA,,,
QS,11,QS-11,5,,NA,,,
QS,12,QS-12,5,,NA,,,
QS,13,QS-13,5,,NA,,,
QS,14,QS-14,5,,NA,,,
QS,15,QS-15,5,,1,,,
TF,1,TF-1,5,,7,,,
TF,2,TF-2,5,,5,,,
TF,3,TF-3,5,,NA,,,
TF,4,TF-4,5,,NA,,,
TF,5,TF-5,5,,6,,,
TF,6,TF-6,5,,NA,,,
TF,7,TF-7,5,,3,,,
TF,8,TF-8,5,,NA,,,
TF,9,TF-9,5,,NA,,,
TF,10,TF-10,5,,2,,,
TF,11,TF-11,5,,3,,,
TF,12,TF-12,5,,NA,,,
TF,13,TF-13,5,,NA,,,
TF,14,TF-14,5,,2,,,
TF,15,TF-15,5,,1,,,
TFQ,1,TFQ-1,5,,NA,,,
TFQ,2,TFQ-2,5,,NA,,,
TFQ,3,TFQ-3,5,,NA,,,
TFQ,4,TFQ-4,5,,1,,,
TFQ,5,TFQ-5,5,,NA,,,
TFQ,6,TFQ-6,5,,1,,,
TFQ,7,TFQ-7,5,,NA,,,
TFQ,8,TFQ-8,5,,NA,,,
TFQ,9,TFQ-9,5,,NA,,,
TFQ,10,TFQ-10,5,,NA,,,
TFQ,11,TFQ-11,5,,1,,,
TFQ,12,TFQ-12,5,,NA,,,
TFQ,13,TFQ-13,5,,NA,,,
TFQ,14,TFQ-14,5,,NA,,,
TFQ,15,TFQ-15,5,,NA,,,
